#,Player ID,League,Team,Name,Sofascore Rating,Goals,xG,Big chances missed,Total shots,Shots on target,Shots off target,Goal conversion %,Succ. dribbles,Succ. dribbles %,Goals inside box,Goals outside box,Headed goals,Left-footed goals,Right-footed goals,Hit woodwork,Offsides,Penalties won,Penalties taken,Penalty goals,Penalty conversion %,Free kick goals,Shots from set piece,Set piece conv. %,Tackles,Interceptions,Clearances,Blocked shots,Dribbled past,Errors leading to goal,Errors leading to shot,Penalties committed,Own goals,Clean sheets,Big chances created,Assists,Passes to assist,Key passes,Total passes,Accurate passes,Inaccurate passes,Accurate passes %,Passes in own half,Passes in opp. half,Acc. final third passes,Accurate crosses,Accurate crosses %,Accurate long balls,Accurate long balls %,Appearances,Started,Minutes played,Yellow cards,Red cards,Fouls,Was fouled,Possession lost,Dispossessed,Total duels won,Total duels won %,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %
1,842718,Bundesliga,1. FC Union Berlin,Matheo Raab,9.7,0,,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,2,0.0,0,0,0,0,0,1,0,0,0,0,32,17,15,53.13,8,9,1,0,0.0,11,42.31,1,1,90,0,0,0,0,17,0,1,50.0,0,0.0,1,50.0
2,978838,Bundesliga,FC Bayern München,Michael Olise,7.89,15,11.33,14,100,50,21,15.0,64,47.06,11,4,0,12,3,6,7,2,0,0,0.0,0,5,0.0,24,13,9,1.0,28,0,1,0,0,8,27,19,2,81,1532,1290,242,84.2,233,1057,736,31,21.09,26,59.09,31,23,2288,8,0,32,58,566,31,154,46.95,146,47.56,8,38.1
3,108579,Bundesliga,FC Bayern München,Harry Kane,7.77,33,26.22,18,114,64,23,28.95,31,62.0,29,4,3,6,24,4,19,2,11,10,90.91,0,3,0.0,18,7,33,5.0,13,1,0,1,0,4,17,5,0,39,708,573,135,80.93,185,388,262,1,8.33,77,71.3,30,24,2292,1,0,25,32,254,32,124,52.54,81,48.8,43,61.43
4,2087085,Bundesliga,RB Leipzig,Yan Diomande,7.74,12,6.63,5,50,24,14,24.0,115,59.9,10,2,0,7,5,0,7,0,0,0,0.0,0,0,0.0,29,16,9,1.0,18,0,1,0,0,3,17,7,0,55,1043,878,165,84.18,264,614,397,7,17.07,28,73.68,32,27,2396,2,0,18,31,436,61,180,47.12,175,50.29,5,14.71
5,259117,Bundesliga,FC Bayern München,Joshua Kimmich,7.69,2,2.53,1,27,10,11,7.41,11,61.11,2,0,0,2,0,3,0,0,0,0,0.0,0,0,0.0,30,23,17,6.0,21,0,4,1,0,8,15,6,2,54,2539,2346,193,92.4,865,1481,690,28,23.93,156,71.23,28,23,2190,4,0,7,21,339,14,69,53.49,62,56.36,7,36.84
6,940871,Bundesliga,Borussia Dortmund,Nico Schlotterbeck,7.67,5,3.72,2,32,9,12,15.63,14,63.64,5,0,3,2,0,2,1,1,0,0,0.0,0,0,0.0,47,26,125,11.0,8,0,0,1,0,10,1,1,0,12,1911,1691,220,88.49,914,777,341,6,19.35,183,62.03,27,27,2430,8,0,30,26,317,15,150,60.98,87,60.0,63,62.38
7,26768,Bundesliga,FC Bayern München,Sven Ulreich,7.6,0,,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,38,18,20,47.37,15,3,0,0,0.0,5,20.0,1,1,90,1,0,0,1,20,0,1,100.0,1,100.0,0,0.0
8,991591,Bundesliga,SV Werder Bremen,Karl Hein,7.6,0,,0,0,0,0,0.0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,4,0.0,0,0,0,0,0,1,0,0,0,0,110,83,27,75.45,76,7,1,0,0.0,18,40.91,2,2,180,0,0,0,0,27,0,3,100.0,1,100.0,2,100.0
9,826205,Bundesliga,VfB Stuttgart,Dan Zagadou,7.53,0,0.34,0,6,1,4,0.0,1,100.0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,5,5,17,5.0,2,0,0,0,0,0,0,0,0,1,213,184,29,86.38,96,88,21,0,0.0,4,22.22,3,3,210,0,0,5,1,31,1,24,66.67,7,46.67,17,80.95
10,1568521,Bundesliga,SV Werder Bremen,Mick Schmetgens,7.5,0,,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,1,5,2.0,0,0,0,0,0,0,0,0,0,0,40,36,4,90.0,20,16,1,1,50.0,0,0.0,2,0,36,0,0,0,0,5,0,3,75.0,1,100.0,2,66.67
