#,League,Team,Name,Goals,Expected goals (xG),Big chances missed,Succ. dribbles,Total shots,Goal conversion %,Average Sofascore rating
1,Bundesliga,FC Bayern München,Harry Kane,33,26.22,18,31,114,28.95,7.77
2,Bundesliga,VfB Stuttgart,Deniz Undav,19,16.38,19,9,121,15.7,7.21
3,Bundesliga,Bayer 04 Leverkusen,Patrik Schick,16,16.1,17,10,68,23.53,6.96
4,Bundesliga,Borussia Dortmund,Serhou Guirassy,16,15.8,17,12,76,21.05,6.82
5,Bundesliga,FC Bayern München,Michael Olise,15,11.33,13,64,100,15.0,7.89
6,Bundesliga,FC Bayern München,Luis Díaz,15,14.47,14,60,85,17.65,7.25
7,Bundesliga,TSG Hoffenheim,Andrej Kramarić,14,11.24,7,19,62,22.58,7.05
8,Bundesliga,RB Leipzig,Christoph Baumgartner,13,15.02,20,13,79,16.46,6.96
9,Bundesliga,RB Leipzig,Yan Diomande,12,6.63,5,115,50,24.0,7.74
10,Bundesliga,1. FC Köln,Said El Mala,12,10.58,16,42,72,16.67,7.0
11,Bundesliga,VfB Stuttgart,Ermedin Demirović,12,7.34,9,7,40,30.0,6.95
12,Bundesliga,Borussia M'gladbach,Haris Tabaković,12,12.62,10,6,65,18.46,6.68
13,Bundesliga,1. FSV Mainz 05,Nadiem Amiri,11,9.07,2,23,51,21.57,7.4
14,Bundesliga,Eintracht Frankfurt,Jonathan Burkardt,11,10.38,8,6,38,28.95,6.89
15,Bundesliga,SV Werder Bremen,Jens Stage,10,5.96,5,11,54,18.52,7.0
16,Bundesliga,SC Freiburg,Igor Matanović,10,9.23,5,10,51,19.61,6.76
17,Bundesliga,TSG Hoffenheim,Fisnik Asllani,10,8.26,8,15,72,13.89,6.74
18,Bundesliga,Borussia Dortmund,Maximilian Beier,9,7.23,10,18,49,18.37,6.82
19,Bundesliga,RB Leipzig,Rômulo,9,14.22,21,11,62,14.52,6.66
