#,League,Team,Name,Tackles,Interceptions,Clearances,Errors leading to goal,Blocked shots,Average Sofascore rating
1,Bundesliga,Eintracht Frankfurt,Nathaniel Brown,79,26,44,0,7.0,6.81
2,Bundesliga,Borussia Dortmund,Waldemar Anton,72,27,160,0,17.0,7.24
3,Bundesliga,TSG Hoffenheim,Wouter Burger,71,16,71,0,6.0,7.1
4,Bundesliga,1. FC Köln,Tom Krauß,70,28,46,0,9.0,6.9
5,Bundesliga,Borussia M'gladbach,Rocco Reitz,68,49,49,0,6.0,6.86
6,Bundesliga,FC St. Pauli,Joel Chima Fujita,68,31,17,0,4.0,6.71
7,Bundesliga,Hamburger SV,Nicolás Capaldo,67,35,61,1,5.0,6.72
8,Bundesliga,VfB Stuttgart,Maximilian Mittelstädt,66,35,68,0,9.0,7.21
9,Bundesliga,Borussia M'gladbach,Philipp Sander,63,48,102,0,8.0,6.98
10,Bundesliga,TSG Hoffenheim,Bernardo,63,40,130,0,13.0,6.86
11,Bundesliga,SV Werder Bremen,Senne Lynen,63,77,94,1,10.0,6.81
12,Bundesliga,Hamburger SV,Miro Muheim,62,27,59,0,5.0,6.96
13,Bundesliga,SC Freiburg,Maximilian Eggestein,62,30,60,0,15.0,6.85
14,Bundesliga,RB Leipzig,Nicolas Seiwald,61,56,64,0,10.0,6.9
15,Bundesliga,Hamburger SV,Nicolai Remberg,60,42,106,0,16.0,6.93
16,Bundesliga,RB Leipzig,Ridle Baku,60,30,88,1,7.0,6.89
17,Bundesliga,TSG Hoffenheim,Albian Hajdari,58,40,165,0,23.0,7.02
18,Bundesliga,1. FC Union Berlin,Rani Khedira,58,37,65,1,5.0,6.74
19,Bundesliga,Borussia M'gladbach,Jens Castrop,58,18,30,0,1.0,6.69
20,Bundesliga,1. FC Heidenheim,Niklas Dorsch,57,17,39,0,4.0,6.87
21,Bundesliga,FC Augsburg,Robin Fellhauer,57,23,67,0,9.0,6.81
22,Bundesliga,SV Werder Bremen,Cameron Puertas,57,18,22,0,8.0,6.68
23,Bundesliga,TSG Hoffenheim,Vladimír Coufal,56,35,104,0,16.0,7.14
24,Bundesliga,VfL Wolfsburg,Vinícius Souza,54,25,68,0,9.0,6.9
25,Bundesliga,RB Leipzig,Christoph Baumgartner,53,21,43,1,4.0,6.96
26,Bundesliga,1. FC Union Berlin,Leopold Querfeld,51,36,215,1,24.0,6.87
27,Bundesliga,1. FSV Mainz 05,Kaishu Sano,50,65,45,0,14.0,7.02
28,Bundesliga,Eintracht Frankfurt,Nnamdi Collins,49,25,57,1,1.0,6.69
29,Bundesliga,RB Leipzig,David Raum,48,30,104,1,9.0,7.33
30,Bundesliga,Borussia Dortmund,Nico Schlotterbeck,47,26,125,0,11.0,7.67
31,Bundesliga,VfB Stuttgart,Angelo Stiller,47,27,46,0,7.0,7.27
32,Bundesliga,VfL Wolfsburg,Patrick Wimmer,47,25,21,0,2.0,6.88
33,Bundesliga,Bayer 04 Leverkusen,Alejandro Grimaldo,46,19,52,0,5.0,7.32
34,Bundesliga,TSG Hoffenheim,Leon Avdullahu,46,34,45,0,6.0,7.07
35,Bundesliga,1. FSV Mainz 05,Stefan Posch,46,19,80,1,11.0,7.01
36,Bundesliga,Eintracht Frankfurt,Rasmus Kristensen,46,19,56,0,1.0,7.0
37,Bundesliga,SV Werder Bremen,Romano Schmid,46,11,13,0,4.0,6.92
38,Bundesliga,1. FSV Mainz 05,Paul Nebel,46,12,23,0,2.0,6.61
39,Bundesliga,RB Leipzig,Willi Orbán,45,39,239,1,35.0,7.25
40,Bundesliga,1. FSV Mainz 05,Dominik Kohr,45,40,124,1,15.0,6.82
