#,League,Team,Name,Total saves,Clean sheets,Penalties saved,Saves from inside box,Runs out,Average Sofascore rating
1,Bundesliga,Borussia M'gladbach,Moritz Nicolas,133,12,0,83,9,7.34
2,Bundesliga,VfL Wolfsburg,Kamil Grabara,122,2,3,83,16,7.22
3,Bundesliga,FC St. Pauli,Nikola Vasilj,117,5,2,82,16,7.05
4,Bundesliga,Hamburger SV,Daniel Fernandes,107,6,2,71,17,7.18
5,Bundesliga,VfB Stuttgart,Alexander Nübel,105,11,1,77,25,7.17
6,Bundesliga,FC Augsburg,Finn Dahmen,101,5,1,74,21,7.05
7,Bundesliga,1. FC Heidenheim,Diant Ramaj,100,1,0,69,14,6.94
8,Bundesliga,SC Freiburg,Noah Atubolu,97,6,1,60,15,7.05
9,Bundesliga,SV Werder Bremen,Mio Backhaus,95,5,0,64,19,7.06
10,Bundesliga,TSG Hoffenheim,Oliver Baumann,95,7,0,60,34,6.82
11,Bundesliga,1. FC Köln,Marvin Schwäbe,90,3,2,67,24,7.18
12,Bundesliga,Borussia Dortmund,Gregor Kobel,86,14,0,60,14,7.13
13,Bundesliga,1. FC Union Berlin,Frederik Rønnow,77,5,0,52,16,6.74
14,Bundesliga,Bayer 04 Leverkusen,Mark Flekken,74,5,0,44,8,6.89
15,Bundesliga,1. FSV Mainz 05,Daniel Batz,65,3,0,49,10,7.32
16,Bundesliga,Eintracht Frankfurt,Michael Zetterer,58,5,0,40,8,6.96
17,Bundesliga,RB Leipzig,Péter Gulácsi,52,9,0,38,13,6.92
18,Bundesliga,Bayer 04 Leverkusen,Janis Blaswich,41,3,0,30,7,7.25
19,Bundesliga,Eintracht Frankfurt,Kauã Santos,37,1,0,26,6,6.62
20,Bundesliga,FC Bayern München,Jonas Urbig,31,5,0,19,20,7.22
21,Bundesliga,RB Leipzig,Maarten Vandevoordt,31,2,1,21,6,7.07
22,Bundesliga,FC Bayern München,Manuel Neuer,31,6,0,23,23,6.92
23,Bundesliga,1. FSV Mainz 05,Robin Zentner,25,0,0,14,7,6.94
24,Bundesliga,1. FSV Mainz 05,Lasse Riess,15,0,0,10,1,6.58
25,Bundesliga,SV Werder Bremen,Karl Hein,11,1,0,7,3,7.6
26,Bundesliga,1. FC Union Berlin,Matheo Raab,6,1,0,4,1,9.7
27,Bundesliga,FC Bayern München,Sven Ulreich,6,0,0,5,0,7.6
28,Bundesliga,1. FC Union Berlin,Carl Klaus,6,0,0,6,1,7.55
29,Bundesliga,1. FC Heidenheim,Frank Feller,4,0,0,3,0,7.0
