#,League,Team,Name,Big chances created,Assists,Accurate passes,Accurate passes %,Key passes,Average Sofascore rating
1,Bundesliga,FC Bayern München,Michael Olise,27,19,1290,84.2,81,7.89
2,Bundesliga,Borussia Dortmund,Julian Ryerson,21,14,731,82.97,53,7.08
3,Bundesliga,FC Bayern München,Luis Díaz,14,13,1063,85.79,64,7.25
4,Bundesliga,VfB Stuttgart,Jamie Leweling,10,9,567,77.35,40,7.05
5,Bundesliga,TSG Hoffenheim,Bazoumana Touré,11,9,484,76.1,45,6.93
6,Bundesliga,Eintracht Frankfurt,Farès Chaïbi,11,9,612,79.07,39,6.83
7,Bundesliga,FC Bayern München,Konrad Laimer,5,9,1200,89.89,45,6.82
8,Bundesliga,Bayer 04 Leverkusen,Alejandro Grimaldo,16,8,1550,87.52,68,7.32
9,Bundesliga,TSG Hoffenheim,Vladimír Coufal,16,8,1016,78.15,59,7.14
10,Bundesliga,RB Leipzig,Christoph Baumgartner,5,8,815,75.67,36,6.96
11,Bundesliga,VfL Wolfsburg,Christian Eriksen,13,8,866,78.16,57,6.92
12,Bundesliga,SV Werder Bremen,Romano Schmid,17,8,1068,75.96,88,6.92
13,Bundesliga,1. FC Union Berlin,Andrej Ilić,6,8,218,54.23,28,6.61
14,Bundesliga,RB Leipzig,Yan Diomande,17,7,878,84.18,55,7.74
15,Bundesliga,Bayer 04 Leverkusen,Aleix García,13,7,2736,92.84,48,7.44
16,Bundesliga,RB Leipzig,David Raum,22,7,1370,80.78,98,7.33
17,Bundesliga,TSG Hoffenheim,Fisnik Asllani,7,7,432,68.03,35,6.74
18,Bundesliga,FC Bayern München,Joshua Kimmich,15,6,2346,92.4,54,7.69
19,Bundesliga,VfB Stuttgart,Chris Führich,14,6,701,83.25,45,7.18
20,Bundesliga,FC Bayern München,Serge Gnabry,9,6,583,89.83,23,7.09
21,Bundesliga,TSG Hoffenheim,Andrej Kramarić,7,6,827,85.26,36,7.05
22,Bundesliga,Borussia M'gladbach,Franck Honorat,10,6,423,74.21,45,6.88
23,Bundesliga,Borussia Dortmund,Maximilian Beier,9,6,403,70.7,25,6.82
24,Bundesliga,Borussia Dortmund,Fábio Silva,7,6,190,72.24,17,6.6
25,Bundesliga,SV Werder Bremen,Yukinari Sugawara,4,6,889,79.87,20,6.52
26,Bundesliga,FC Bayern München,Harry Kane,16,5,573,80.93,39,7.77
27,Bundesliga,VfB Stuttgart,Angelo Stiller,9,5,2007,88.26,55,7.27
28,Bundesliga,VfB Stuttgart,Deniz Undav,7,5,434,72.58,37,7.21
29,Bundesliga,Hamburger SV,Fábio Vieira,7,5,678,83.39,37,7.15
30,Bundesliga,TSG Hoffenheim,Wouter Burger,9,5,1003,77.51,48,7.1
31,Bundesliga,VfB Stuttgart,Bilal El Khannouss,8,5,749,79.34,45,6.98
32,Bundesliga,FC Augsburg,Dimitrios Giannoulis,8,5,468,71.34,34,6.92
33,Bundesliga,Eintracht Frankfurt,Ritsu Doan,12,5,658,77.96,38,6.87
34,Bundesliga,Bayer 04 Leverkusen,Ernest Poku,4,5,464,83.15,28,6.84
35,Bundesliga,1. FC Heidenheim,Marnon Busch,8,5,534,80.3,17,6.79
36,Bundesliga,VfL Wolfsburg,Saël Kumbedi,5,5,494,77.31,17,6.5
37,Bundesliga,VfB Stuttgart,Maximilian Mittelstädt,9,4,1125,86.14,36,7.21
38,Bundesliga,Eintracht Frankfurt,Can Uzun,4,4,460,81.42,20,7.2
39,Bundesliga,Bayer 04 Leverkusen,Ibrahim Maza,9,4,716,83.35,28,7.11
40,Bundesliga,VfL Wolfsburg,Maximilian Arnold,11,4,872,84.74,29,7.1
41,Bundesliga,Bayer 04 Leverkusen,Nathan Tella,5,4,201,85.17,19,7.03
42,Bundesliga,1. FC Köln,Said El Mala,8,4,228,73.08,21,7.0
43,Bundesliga,Borussia Dortmund,Julian Brandt,8,4,605,81.21,32,7.0
44,Bundesliga,Eintracht Frankfurt,Jean-Mattéo Bahoya,6,4,354,80.64,31,6.97
45,Bundesliga,Hamburger SV,Miro Muheim,6,4,828,75.41,41,6.96
46,Bundesliga,SC Freiburg,Matthias Ginter,5,4,1525,87.39,15,6.95
47,Bundesliga,SC Freiburg,Vincenzo Grifo,11,4,636,81.85,41,6.94
48,Bundesliga,1. FC Köln,Ragnar Ache,6,4,186,60.98,28,6.88
49,Bundesliga,FC Augsburg,Alexis Claude-Maurice,5,4,617,84.4,33,6.87
50,Bundesliga,Borussia M'gladbach,Rocco Reitz,7,4,965,77.89,28,6.86
51,Bundesliga,1. FC Köln,Marius Bülter,7,4,255,72.03,24,6.85
52,Bundesliga,FC Bayern München,Lennart Karl,5,4,647,85.36,21,6.81
53,Bundesliga,Eintracht Frankfurt,Nathaniel Brown,7,4,929,84.84,33,6.81
54,Bundesliga,1. FC Köln,Luca Waldschmidt,5,4,163,77.25,13,6.79
55,Bundesliga,FC Bayern München,Jamal Musiala,3,4,230,85.19,16,6.74
56,Bundesliga,Bayer 04 Leverkusen,Christian Kofane,3,4,168,82.76,17,6.71
57,Bundesliga,RB Leipzig,Rômulo,6,4,414,75.0,26,6.66
58,Bundesliga,FC Augsburg,Mert Kömür,5,4,345,80.05,23,6.66
59,Bundesliga,Hamburger SV,William Mikelbrencis,4,4,253,71.47,16,6.55
60,Bundesliga,SC Freiburg,Johan Manzambi,5,3,775,84.42,18,7.21
61,Bundesliga,Bayer 04 Leverkusen,Edmond Tapsoba,4,3,2119,90.79,10,7.2
62,Bundesliga,RB Leipzig,Brajan Gruda,5,3,189,77.78,15,7.19
63,Bundesliga,1. FC Köln,Jakub Kamiński,10,3,760,79.5,51,7.14
64,Bundesliga,RB Leipzig,Antonio Nusa,8,3,460,78.9,32,7.09
65,Bundesliga,Bayer 04 Leverkusen,Patrik Schick,5,3,325,80.85,14,6.96
66,Bundesliga,FC St. Pauli,Manolis Saliakas,1,3,385,74.32,12,6.95
67,Bundesliga,VfB Stuttgart,Ermedin Demirović,4,3,178,73.86,17,6.95
68,Bundesliga,Borussia Dortmund,Felix Nmecha,3,3,897,86.92,20,6.94
69,Bundesliga,1. FC Union Berlin,Christopher Trimmel,8,3,398,66.33,47,6.93
70,Bundesliga,FC Bayern München,Josip Stanišić,4,3,1099,89.79,23,6.92
71,Bundesliga,FC Augsburg,Fabian Rieder,9,3,573,75.39,42,6.91
72,Bundesliga,VfB Stuttgart,Nikolas Nartey,6,3,414,83.98,24,6.9
73,Bundesliga,1. FC Köln,Alessio Castro-Montes,3,3,209,76.56,20,6.89
74,Bundesliga,RB Leipzig,Ridle Baku,10,3,1397,86.02,36,6.89
75,Bundesliga,RB Leipzig,Assan Ouédraogo,6,3,224,81.75,14,6.88
76,Bundesliga,VfL Wolfsburg,Patrick Wimmer,4,3,322,65.18,16,6.88
77,Bundesliga,Borussia Dortmund,Karim Adeyemi,5,3,208,71.48,14,6.86
78,Bundesliga,FC Bayern München,Tom Bischof,5,3,1017,93.05,23,6.83
79,Bundesliga,FC Bayern München,Alphonso Davies,2,3,337,93.61,9,6.82
80,Bundesliga,1. FSV Mainz 05,Danny da Costa,4,3,857,75.84,16,6.82
81,Bundesliga,1. FSV Mainz 05,Sheraldo Becker,6,3,97,71.32,15,6.79
82,Bundesliga,1. FC Heidenheim,Arijon Ibrahimović,9,3,554,72.42,52,6.76
83,Bundesliga,VfB Stuttgart,Ramon Hendriks,1,3,1080,90.3,6,6.75
84,Bundesliga,VfL Wolfsburg,Mohamed Amoura,7,3,344,69.78,25,6.74
85,Bundesliga,VfB Stuttgart,Tiago Tomás,2,3,238,79.07,11,6.74
86,Bundesliga,FC St. Pauli,Danel Sinani,5,3,708,74.21,47,6.72
87,Bundesliga,FC St. Pauli,Joel Chima Fujita,5,3,881,77.08,30,6.71
88,Bundesliga,VfL Wolfsburg,Adam Daghim,6,3,253,66.23,17,6.71
89,Bundesliga,Eintracht Frankfurt,Ayoube Amaimouni Echghouyab,1,3,97,76.98,6,6.69
90,Bundesliga,Eintracht Frankfurt,Mahmoud Dahoud,0,3,272,80.95,7,6.63
91,Bundesliga,VfL Wolfsburg,Lovro Majer,4,3,437,81.99,22,6.63
92,Bundesliga,Bayer 04 Leverkusen,Arthur,2,3,373,83.45,12,6.63
93,Bundesliga,Borussia M'gladbach,Joe Scally,2,3,697,79.84,18,6.61
94,Bundesliga,RB Leipzig,Conrad Harder,4,3,129,70.49,13,6.61
95,Bundesliga,SC Freiburg,Christian Günter,3,3,405,78.79,20,6.57
96,Bundesliga,1. FC Heidenheim,Jan Schöppner,5,3,428,68.48,12,6.55
97,Bundesliga,VfB Stuttgart,Josha Vagnoman,3,3,496,82.12,16,6.44
98,Bundesliga,1. FSV Mainz 05,Nadiem Amiri,13,2,830,81.21,55,7.4
99,Bundesliga,Borussia Dortmund,Ramy Bensebaini,1,2,1021,87.41,10,7.38
100,Bundesliga,FC Bayern München,Leon Goretzka,3,2,1418,91.6,21,7.12
101,Bundesliga,Hamburger SV,Albert Grønbæk,2,2,79,75.24,7,7.05
102,Bundesliga,TSG Hoffenheim,Albian Hajdari,4,2,1254,82.72,10,7.02
103,Bundesliga,1. FSV Mainz 05,Kaishu Sano,6,2,961,79.95,23,7.02
104,Bundesliga,SV Werder Bremen,Jens Stage,4,2,805,75.37,25,7.0
105,Bundesliga,Bayer 04 Leverkusen,Lucas Vázquez,5,2,198,87.22,9,6.96
106,Bundesliga,Hamburger SV,Nicolai Remberg,5,2,1146,88.91,13,6.93
107,Bundesliga,Borussia Dortmund,Marcel Sabitzer,4,2,664,83.84,15,6.9
108,Bundesliga,RB Leipzig,Nicolas Seiwald,3,2,1241,88.77,14,6.9
109,Bundesliga,1. FC Heidenheim,Hennes Behrens,5,2,282,70.85,14,6.89
110,Bundesliga,TSG Hoffenheim,Grischa Prömel,3,2,746,81.8,16,6.88
111,Bundesliga,FC St. Pauli,Eric Smith,1,2,1244,84.74,18,6.86
112,Bundesliga,SV Werder Bremen,Olivier Deman,1,2,431,78.65,17,6.85
113,Bundesliga,TSG Hoffenheim,Alexander Prass,4,2,384,76.34,17,6.84
114,Bundesliga,SV Werder Bremen,Samuel Mbangula,2,2,409,86.65,15,6.84
115,Bundesliga,1. FC Heidenheim,Patrick Mainka,3,2,1121,87.31,10,6.83
116,Bundesliga,1. FC Köln,Eric Martel,4,2,1191,86.43,15,6.82
117,Bundesliga,FC Bayern München,Hiroki Itō,2,2,736,91.09,6,6.81
118,Bundesliga,FC Augsburg,Robin Fellhauer,3,2,655,75.29,29,6.81
119,Bundesliga,Borussia Dortmund,Yan Couto,4,2,374,81.66,17,6.79
120,Bundesliga,FC Augsburg,Michael Gregoritsch,3,2,91,55.15,7,6.79
121,Bundesliga,FC Bayern München,Raphaël Guerreiro,3,2,456,89.41,19,6.79
122,Bundesliga,SC Freiburg,Jan-Niklas Beste,4,2,352,75.21,35,6.79
123,Bundesliga,1. FSV Mainz 05,Phillipp Mwene,3,2,379,73.31,17,6.78
124,Bundesliga,1. FC Köln,Ísak Bergmann Jóhannesson,2,2,682,83.37,31,6.78
125,Bundesliga,SC Freiburg,Yuito Suzuki,2,2,314,77.53,25,6.76
126,Bundesliga,Eintracht Frankfurt,Hugo Larsson,1,2,893,86.78,19,6.76
