#,League,Team,Name,Goals,Expected goals (xG),Big chances missed,Succ. dribbles,Total shots,Goal conversion %,Average Sofascore rating
1,La Liga,Real Madrid,Kylian Mbappé,24,23.0,18,76,132,18.18,7.63
2,La Liga,Mallorca,Vedat Muriqi,22,17.04,17,15,104,21.15,7.09
3,La Liga,Osasuna,Ante Budimir,17,15.43,12,3,88,19.32,6.91
4,La Liga,FC Barcelona,Lamine Yamal,16,12.81,7,133,117,13.68,7.93
5,La Liga,Real Madrid,Vinicius Júnior,15,13.33,13,85,96,15.63,7.55
6,La Liga,Real Sociedad,Mikel Oyarzabal,15,15.21,17,34,78,19.23,7.07
7,La Liga,FC Barcelona,Ferran Torres,15,12.75,19,7,65,23.08,6.85
8,La Liga,Celta Vigo,Borja Iglesias,14,10.06,6,11,45,31.11,6.8
9,La Liga,FC Barcelona,Robert Lewandowski,13,13.34,15,9,59,22.03,6.8
10,La Liga,Deportivo Alavés,Toni Martínez,12,9.74,10,17,87,13.79,7.0
11,La Liga,Atlético Madrid,Alexander Sørloth,12,9.59,17,10,64,18.75,6.79
12,La Liga,FC Barcelona,Raphinha,11,9.79,5,20,58,18.97,7.45
13,La Liga,Villarreal,Georges Mikautadze,11,9.83,18,30,61,18.03,6.92
14,La Liga,Deportivo Alavés,Lucas Boyé,11,9.09,8,37,59,18.64,6.78
15,La Liga,Rayo Vallecano,Jorge de Frutos,10,10.04,10,23,59,16.95,6.93
16,La Liga,Villarreal,Alberto Moleiro,10,5.49,6,31,43,23.26,6.9
17,La Liga,Real Betis,Cucho Hernández,10,9.66,7,27,80,12.5,6.85
18,La Liga,Elche,André Silva,10,10.42,8,14,54,18.52,6.82
19,La Liga,Real Betis,Abdessamad Ezzalzouli,9,8.23,8,38,68,13.24,7.32
20,La Liga,Villarreal,Gerard Moreno,9,6.22,3,14,37,24.32,7.12
21,La Liga,Real Oviedo,Federico Viñas,9,8.49,10,45,54,16.67,6.96
22,La Liga,Levante UD,Carlos Espí,9,4.97,8,11,44,20.45,6.86
23,La Liga,Valencia,Hugo Duro,9,7.44,7,3,32,28.13,6.69
24,La Liga,Sevilla,Akor Adams,9,9.74,9,13,56,16.07,6.68
25,La Liga,Girona FC,Vladyslav Vanat,9,8.52,9,9,27,33.33,6.64
26,La Liga,Athletic Club,Gorka Guruzeta,9,9.5,9,7,70,12.86,6.54
27,La Liga,Villarreal,Nicolas Pépé,8,8.15,7,56,59,13.56,7.23
28,La Liga,Real Betis,Antony,8,8.34,13,19,80,10.0,7.2
29,La Liga,Atlético Madrid,Julián Alvarez,8,7.7,8,26,54,14.81,6.96
30,La Liga,Real Sociedad,Gonçalo Guedes,8,3.86,3,18,46,17.39,6.91
31,La Liga,Elche,Rafa Mir,8,8.08,13,5,69,11.59,6.66
32,La Liga,Real Betis,Pablo Fornals,7,3.7,2,24,41,17.07,7.09
33,La Liga,FC Barcelona,Dani Olmo,7,7.49,9,13,66,10.61,7.06
34,La Liga,Mallorca,Samú Costa,7,3.93,2,14,37,18.92,6.97
35,La Liga,Levante UD,Iván Romero,7,8.36,11,35,57,12.28,6.94
36,La Liga,Atlético Madrid,Antoine Griezmann,7,7.18,7,8,41,17.07,6.87
37,La Liga,FC Barcelona,Marcus Rashford,7,7.0,9,25,71,9.86,6.86
38,La Liga,Celta Vigo,Ferran Jutglà,7,5.74,8,20,43,16.28,6.86
39,La Liga,Villarreal,Tajon Buchanan,7,2.06,2,21,27,25.93,6.82
40,La Liga,Real Sociedad,Orri Óskarsson,7,4.63,4,3,20,35.0,6.77
