#,League,Team,Name,Tackles,Interceptions,Clearances,Errors leading to goal,Blocked shots,Average Sofascore rating
1,La Liga,Getafe,Juan Iglesias,103,22,122,2,11.0,6.85
2,La Liga,Villarreal,Santiago Mouriño,97,27,117,0,9.0,6.98
3,La Liga,Real Sociedad,Jon Aramburu,96,43,86,0,9.0,6.65
4,La Liga,Espanyol,Carlos Romero,92,36,65,0,12.0,6.92
5,La Liga,Deportivo Alavés,Antonio Blanco,92,52,40,0,9.0,6.89
6,La Liga,Real Sociedad,Sergio Gómez,84,28,59,0,5.0,6.81
7,La Liga,Sevilla,Gabriel Suazo,82,25,46,1,5.0,6.8
8,La Liga,Celta Vigo,Ilaix Moriba,80,23,30,2,6.0,6.74
9,La Liga,Levante UD,Manuel Sánchez,74,31,79,0,5.0,6.54
10,La Liga,Elche,Aleix Febas,73,25,22,0,4.0,7.18
11,La Liga,FC Barcelona,Eric García,69,44,72,0,7.0,7.09
12,La Liga,Espanyol,Omar El Hilali,68,38,80,1,15.0,6.7
13,La Liga,Elche,David Affengruber,66,47,159,2,24.0,6.92
14,La Liga,Deportivo Alavés,Jonny Otto,66,41,63,0,14.0,6.69
15,La Liga,Real Madrid,Aurélien Tchouaméni,63,41,54,0,13.0,7.24
16,La Liga,Athletic Club,Mikel Jauregizar,63,43,25,0,3.0,6.79
17,La Liga,Villarreal,Pau Navarro,63,18,96,1,14.0,6.75
18,La Liga,Sevilla,Juanlu Sánchez,63,12,31,0,0.0,6.66
19,La Liga,Mallorca,Samú Costa,62,25,88,0,13.0,6.97
20,La Liga,Rayo Vallecano,Andrei Rațiu,62,38,74,0,6.0,6.88
21,La Liga,Girona FC,Arnau Martínez,62,38,114,0,12.0,6.83
22,La Liga,Sevilla,Lucien Agoumé,62,47,39,1,5.0,6.8
23,La Liga,Levante UD,Jeremy Toljan,62,30,89,0,16.0,6.54
24,La Liga,Mallorca,Pablo Maffeo,61,34,92,0,22.0,6.95
25,La Liga,Getafe,Mauro Arambarri,61,22,32,1,6.0,6.7
26,La Liga,Sevilla,José Ángel Carmona,61,35,71,1,7.0,6.64
27,La Liga,Valencia,José Luis Gayà,61,22,78,1,5.0,6.58
28,La Liga,Rayo Vallecano,Óscar Valentín,60,24,50,0,10.0,6.82
29,La Liga,Rayo Vallecano,Florian Lejeune,59,45,210,0,27.0,6.99
30,La Liga,Elche,Víctor Chust,59,19,75,0,15.0,6.84
31,La Liga,Valencia,Pepelu,58,21,60,1,8.0,7.03
32,La Liga,Real Madrid,Eduardo Camavinga,58,14,24,1,11.0,7.0
33,La Liga,Athletic Club,Iñigo Ruiz de Galarreta,58,18,19,0,4.0,6.98
34,La Liga,Deportivo Alavés,Nahuel Tenaglia,58,40,165,2,30.0,6.79
35,La Liga,Girona FC,Iván Martín,56,15,25,0,4.0,6.84
36,La Liga,Girona FC,Daley Blind,55,39,126,1,20.0,6.95
37,La Liga,Osasuna,Enzo Boyomo,54,14,110,1,13.0,6.81
38,La Liga,Getafe,Luis Milla,53,41,49,0,7.0,7.03
39,La Liga,Getafe,Mario Martín,52,15,22,0,5.0,6.52
40,La Liga,Elche,Germán Valera,51,19,40,0,8.0,6.97
41,La Liga,Atlético Madrid,Marcos Llorente,51,11,48,0,2.0,6.96
42,La Liga,Osasuna,Jon Moncayola,51,19,48,0,6.0,6.86
43,La Liga,Rayo Vallecano,Josep Chavarría,51,30,75,1,14.0,6.81
44,La Liga,Mallorca,Manu Morlanes,51,16,21,0,2.0,6.79
45,La Liga,Espanyol,Tyrhys Dolan,51,18,12,0,2.0,6.74
46,La Liga,Mallorca,Johan Mojica,51,23,81,0,5.0,6.71
47,La Liga,Athletic Club,Dani Vivian,51,31,135,2,13.0,6.67
48,La Liga,Real Betis,Sergi Altimira,50,21,19,0,4.0,6.98
49,La Liga,FC Barcelona,Pedri,49,22,21,0,2.0,7.58
50,La Liga,Sevilla,Kike Salas,49,35,153,0,16.0,6.98
51,La Liga,Osasuna,Rubén García,49,15,22,0,2.0,6.81
52,La Liga,Real Betis,Abdessamad Ezzalzouli,48,14,12,0,1.0,7.32
53,La Liga,Atlético Madrid,Koke,48,17,22,0,2.0,7.14
54,La Liga,Rayo Vallecano,Pathé Ismaël Ciss,48,29,73,0,13.0,6.98
55,La Liga,Deportivo Alavés,Pablo Ibáñez,48,20,26,0,10.0,6.69
56,La Liga,FC Barcelona,Fermín López,47,6,5,0,0.0,7.1
57,La Liga,Getafe,Diego Rico,47,31,59,0,3.0,6.63
58,La Liga,Real Madrid,Arda Güler,46,9,9,1,2.0,7.19
59,La Liga,Real Oviedo,Federico Viñas,46,12,23,0,3.0,6.96
60,La Liga,FC Barcelona,Jules Koundé,46,27,53,0,12.0,6.91
61,La Liga,Mallorca,Omar Mascarell,46,33,80,2,17.0,6.82
62,La Liga,Elche,Marc Aguado,46,39,44,0,21.0,6.82
63,La Liga,Espanyol,Urko González,46,26,52,0,9.0,6.64
64,La Liga,Real Madrid,Jude Bellingham,45,13,14,0,2.0,7.25
65,La Liga,Espanyol,Edu Expósito,45,22,31,0,2.0,7.07
66,La Liga,Real Betis,Marc Bartra,45,27,159,0,25.0,6.97
67,La Liga,Osasuna,Javi Galán,45,28,55,0,5.0,6.85
68,La Liga,Real Betis,Aitor Ruibal,45,21,45,0,3.0,6.83
69,La Liga,Villarreal,Sergi Cardona,45,35,55,1,9.0,6.76
70,La Liga,Mallorca,Martin Valjent,45,19,221,0,14.0,6.7
71,La Liga,Osasuna,Valentin Rosier,45,39,79,0,3.0,6.65
72,La Liga,Real Oviedo,Ilyas Chaira,45,5,11,0,5.0,6.62
73,La Liga,Real Oviedo,Nacho Vidal,45,28,69,0,7.0,6.62
74,La Liga,Girona FC,Vitor Reis,44,27,185,0,38.0,6.87
75,La Liga,Villarreal,Santi Comesaña,44,28,53,0,15.0,6.87
76,La Liga,Real Betis,Valentín Gómez,44,23,105,1,12.0,6.75
77,La Liga,Real Oviedo,Lucas Ahijado,44,15,29,0,4.0,6.74
78,La Liga,Real Sociedad,Jon Gorrotxategi,44,34,42,0,10.0,6.74
79,La Liga,FC Barcelona,Frenkie de Jong,43,17,15,0,4.0,7.31
80,La Liga,Atlético Madrid,Dávid Hancko,43,18,83,0,9.0,6.83
81,La Liga,Rayo Vallecano,Pacha,43,13,27,0,4.0,6.77
82,La Liga,Real Oviedo,Santiago Colombatto,42,14,34,0,6.0,6.78
83,La Liga,Girona FC,Hugo Rincón,42,5,48,0,9.0,6.69
84,La Liga,Real Madrid,Federico Valverde,41,23,50,1,8.0,7.31
85,La Liga,Celta Vigo,Marcos Alonso,41,27,144,0,15.0,7.04
86,La Liga,Athletic Club,Yuri Berchiche,41,33,99,0,3.0,6.95
87,La Liga,Real Oviedo,Javi López,41,18,50,0,2.0,6.63
88,La Liga,Real Madrid,Álvaro Carreras,40,36,60,0,7.0,7.03
89,La Liga,Celta Vigo,Óscar Mingueza,40,9,36,0,5.0,6.93
90,La Liga,Atlético Madrid,Giuliano Simeone,40,17,11,0,3.0,6.92
91,La Liga,Atlético Madrid,Nahuel Molina,40,13,32,0,5.0,6.77
92,La Liga,Villarreal,Alfonso Pedraza,39,25,36,1,6.0,6.77
93,La Liga,Getafe,Kiko Femenía,39,34,44,2,2.0,6.56
94,La Liga,FC Barcelona,Pau Cubarsí,38,29,136,0,12.0,7.18
95,La Liga,Athletic Club,Alejandro Rego Mora,38,23,16,0,5.0,6.71
96,La Liga,Real Betis,Pablo Fornals,37,34,20,0,3.0,7.09
97,La Liga,Osasuna,Alejandro Catena,37,32,202,2,32.0,6.96
98,La Liga,Atlético Madrid,Johnny Cardoso,37,16,22,0,6.0,6.84
99,La Liga,Real Sociedad,Beñat Turrientes,37,7,23,1,5.0,6.81
100,La Liga,Real Betis,Marc Roca,37,23,37,0,7.0,6.81
101,La Liga,Celta Vigo,Javi Rodríguez,37,24,86,1,15.0,6.77
102,La Liga,Getafe,Abdel Abqar,37,20,67,0,7.0,6.73
103,La Liga,Deportivo Alavés,Carles Aleñá,37,10,22,1,2.0,6.56
104,La Liga,Villarreal,Pape Gueye,36,31,49,2,7.0,7.08
105,La Liga,FC Barcelona,Gerard Martín,36,26,89,0,5.0,7.04
106,La Liga,Villarreal,Dani Parejo,36,12,13,1,7.0,6.86
107,La Liga,Osasuna,Aimar Oroz,36,9,14,0,1.0,6.83
108,La Liga,Espanyol,Leandro Cabrera,36,24,198,1,24.0,6.79
109,La Liga,Deportivo Alavés,Jon Pacheco,36,11,103,0,21.0,6.77
110,La Liga,Real Oviedo,Leander Dendoncker,36,12,34,0,7.0,6.76
111,La Liga,Elche,Léo Pétrot,36,14,67,0,15.0,6.68
112,La Liga,FC Barcelona,Lamine Yamal,35,10,3,0,0.0,7.93
113,La Liga,Real Oviedo,Haissem Hassan,35,6,11,1,0.0,6.83
114,La Liga,Real Oviedo,Nicolas Fonseca,35,16,14,0,4.0,6.79
115,La Liga,Atlético Madrid,Matteo Ruggeri,35,18,54,0,2.0,6.77
116,La Liga,Sevilla,Djibril Sow,35,19,9,0,1.0,6.77
117,La Liga,Real Oviedo,Alberto Reina,35,13,12,1,4.0,6.68
118,La Liga,Sevilla,Batista Mendy,35,18,24,1,5.0,6.68
119,La Liga,Villarreal,Rafa Marín,34,18,127,0,15.0,7.05
120,La Liga,Real Sociedad,Brais Méndez,34,6,9,0,3.0,6.9
121,La Liga,Elche,Pedro Bigas,34,26,96,0,19.0,6.88
122,La Liga,Deportivo Alavés,Lucas Boyé,34,7,18,0,6.0,6.78
123,La Liga,Real Oviedo,David Carmo,34,21,149,2,18.0,6.75
124,La Liga,Espanyol,Pere Milla,34,15,13,0,3.0,6.71
125,La Liga,Sevilla,Nemanja Gudelj,34,25,127,0,18.0,6.69
126,La Liga,Valencia,César Tárrega,34,24,162,2,19.0,6.69
127,La Liga,Deportivo Alavés,Abderrahman Rebbach,34,13,17,0,0.0,6.67
128,La Liga,Espanyol,Pol Lozano,34,22,21,0,6.0,6.64
129,La Liga,FC Barcelona,Dani Olmo,33,13,20,0,0.0,7.06
130,La Liga,Levante UD,Kervin Arriaga,33,13,48,1,13.0,6.86
131,La Liga,FC Barcelona,Alejandro Balde,33,5,21,0,9.0,6.75
132,La Liga,Osasuna,Abel Bretones,33,17,49,0,5.0,6.74
133,La Liga,Osasuna,Lucas Torró,33,26,44,0,5.0,6.72
134,La Liga,Real Oviedo,Kwasi Sibo,33,15,34,0,6.0,6.62
135,La Liga,Getafe,Djené,33,32,139,0,10.0,6.61
136,La Liga,Athletic Club,Andoni Gorosabel,33,12,35,0,2.0,6.6
137,La Liga,Rayo Vallecano,Pedro Díaz,33,4,15,0,1.0,6.56
138,La Liga,Elche,Adrià Pedrosa,33,14,37,1,1.0,6.5
139,La Liga,Real Betis,Antony,32,23,17,0,1.0,7.2
140,La Liga,Real Sociedad,Carlos Soler,32,14,26,1,9.0,7.0
141,La Liga,Girona FC,Axel Witsel,32,26,53,0,9.0,6.85
142,La Liga,Valencia,Luis Rioja,32,17,30,0,0.0,6.81
143,La Liga,Real Betis,Natan,32,35,202,1,21.0,6.68
144,La Liga,Girona FC,Álex Moreno,32,22,85,1,9.0,6.64
145,La Liga,Real Sociedad,Igor Zubeldia,32,21,139,0,13.0,6.62
146,La Liga,Deportivo Alavés,Victor Parada,32,9,74,0,10.0,6.45
147,La Liga,Real Madrid,Dean Huijsen,31,18,124,0,15.0,7.31
148,La Liga,Villarreal,Nicolas Pépé,31,15,24,0,1.0,7.23
149,La Liga,Levante UD,Iván Romero,31,11,8,0,2.0,6.94
150,La Liga,Levante UD,Matias Moreno,31,30,114,1,17.0,6.82
151,La Liga,Celta Vigo,Sergio Carreira,31,24,57,0,3.0,6.8
152,La Liga,Osasuna,Jorge Herrando,31,18,100,0,11.0,6.69
153,La Liga,Real Oviedo,Abdel Rahim,31,27,64,1,6.0,6.62
154,La Liga,Atlético Madrid,Pablo Barrios,30,27,12,0,2.0,7.02
155,La Liga,Celta Vigo,Hugo Sotelo,30,12,15,0,9.0,7.01
156,La Liga,Girona FC,Bryan Gil,30,9,10,1,1.0,6.56
157,La Liga,Valencia,Guido Rodríguez,29,5,33,0,6.0,7.09
158,La Liga,Real Sociedad,Takefusa Kubo,29,9,10,0,0.0,7.06
159,La Liga,Celta Vigo,Alvaro Núñez,29,16,34,0,8.0,6.91
160,La Liga,Girona FC,Fran Beltrán,29,13,22,0,5.0,6.83
161,La Liga,Real Sociedad,Jon Martin,29,33,142,0,23.0,6.81
162,La Liga,Rayo Vallecano,Isi Palazón,29,3,23,0,6.0,6.73
163,La Liga,Mallorca,Mateo Joseph,29,12,24,0,4.0,6.66
164,La Liga,Valencia,Thierry Correia,29,16,27,0,0.0,6.53
165,La Liga,Real Madrid,Vinicius Júnior,28,2,1,0,0.0,7.55
166,La Liga,Levante UD,Adrián de la Fuente,28,45,156,0,21.0,6.94
167,La Liga,Girona FC,Viktor Tsygankov,28,17,27,0,4.0,6.94
168,La Liga,Villarreal,Alberto Moleiro,28,8,12,0,3.0,6.9
169,La Liga,Real Sociedad,Ander Barrenetxea,28,14,10,0,3.0,6.86
170,La Liga,Atlético Madrid,Robin Le Normand,28,18,86,1,4.0,6.82
171,La Liga,Getafe,Adrian Liso,28,4,7,0,2.0,6.54
172,La Liga,Deportivo Alavés,Carlos Vicente,27,7,14,0,2.0,6.95
173,La Liga,Celta Vigo,Miguel Román,27,12,23,0,7.0,6.95
174,La Liga,Rayo Vallecano,Jorge de Frutos,27,10,12,0,0.0,6.93
175,La Liga,Real Betis,Cucho Hernández,27,9,24,1,2.0,6.85
176,La Liga,Rayo Vallecano,Unai López,27,20,23,0,3.0,6.78
177,La Liga,Rayo Vallecano,Álvaro García,27,13,27,0,2.0,6.77
178,La Liga,Real Betis,Angel Ortiz,27,3,16,0,4.0,6.74
179,La Liga,Celta Vigo,Williot Swedberg,27,3,5,0,2.0,6.73
180,La Liga,Levante UD,Etta Eyong,27,5,18,0,1.0,6.68
181,La Liga,Real Sociedad,Aihen Muñoz,27,5,31,0,1.0,6.49
182,La Liga,Deportivo Alavés,Toni Martínez,26,4,36,0,2.0,7.0
183,La Liga,Espanyol,Fernando Calero,26,27,121,0,29.0,6.82
184,La Liga,Villarreal,Tajon Buchanan,26,21,16,0,2.0,6.82
185,La Liga,Atlético Madrid,Thiago Almada,26,6,6,0,2.0,6.8
186,La Liga,Espanyol,Clemens Riedel,26,10,80,0,5.0,6.76
187,La Liga,Valencia,José Copete,26,22,112,1,16.0,6.62
188,La Liga,Getafe,Domingos Duarte,26,29,176,0,14.0,6.62
189,La Liga,Mallorca,Antonio Raíllo,25,16,120,0,34.0,6.95
190,La Liga,Atlético Madrid,José María Giménez,25,16,64,1,12.0,6.93
191,La Liga,Mallorca,Sergi Darder,25,24,18,0,6.0,6.91
192,La Liga,Sevilla,César Azpilicueta,25,22,37,0,9.0,6.9
193,La Liga,Real Oviedo,David Costas,25,25,101,3,15.0,6.8
194,La Liga,Real Betis,Héctor Bellerín,25,12,59,0,4.0,6.78
195,La Liga,Deportivo Alavés,Calebe Gonçalves,25,9,4,0,1.0,6.68
196,La Liga,FC Barcelona,João Cancelo,24,10,15,0,2.0,7.18
197,La Liga,Real Sociedad,Mikel Oyarzabal,24,4,25,0,3.0,7.07
198,La Liga,Real Sociedad,Gonçalo Guedes,24,4,6,0,0.0,6.91
199,La Liga,Atlético Madrid,Nicolás González,24,12,27,1,3.0,6.9
200,La Liga,Valencia,Filip Ugrinić,24,8,26,0,4.0,6.83
201,La Liga,Levante UD,Jon Ander Olasagasti,24,11,22,0,8.0,6.79
202,La Liga,Valencia,Javier Guerra,24,23,22,0,6.0,6.69
203,La Liga,Rayo Vallecano,Ilias Akhomach,24,2,9,0,2.0,6.65
204,La Liga,Real Madrid,Éder Militão,23,11,52,0,12.0,7.27
205,La Liga,Real Betis,Diego Llorente,23,25,78,0,10.0,7.05
206,La Liga,Real Betis,Sofyan Amrabat,23,10,14,0,4.0,6.99
207,La Liga,Celta Vigo,Carl Starfelt,23,17,108,0,13.0,6.86
208,La Liga,Valencia,Eray Cömert,23,18,67,0,3.0,6.82
209,La Liga,Real Sociedad,Duje Ćaleta-Car,23,27,122,0,23.0,6.81
210,La Liga,Girona FC,Thomas Lemar,23,4,2,0,2.0,6.73
211,La Liga,Rayo Vallecano,Nobel Mendy,23,20,138,0,19.0,6.68
212,La Liga,Athletic Club,Álex Berenguer,23,12,16,1,0.0,6.63
213,La Liga,Rayo Vallecano,Gerard Gumbau,23,7,26,0,4.0,6.62
214,La Liga,Sevilla,Andres Castrin,22,18,77,0,13.0,6.94
215,La Liga,Valencia,André Almeida,22,10,5,0,1.0,6.92
216,La Liga,Athletic Club,Aymeric Laporte,22,21,111,0,13.0,6.92
217,La Liga,Levante UD,Carlos Álvarez,22,13,6,0,1.0,6.81
218,La Liga,Osasuna,Victor Muñoz,22,9,20,0,0.0,6.79
219,La Liga,Getafe,Martín Satriano,22,9,18,0,2.0,6.77
220,La Liga,Sevilla,Oso,22,5,13,0,3.0,6.72
221,La Liga,Levante UD,Unai Vencedor,22,6,14,0,5.0,6.69
222,La Liga,Deportivo Alavés,Denis Suárez,22,6,12,0,3.0,6.69
223,La Liga,Real Betis,Ricardo Rodríguez,22,8,64,0,3.0,6.68
224,La Liga,Valencia,Lucas Beltrán,22,4,13,0,1.0,6.59
225,La Liga,Athletic Club,Oihan Sancet,22,3,9,0,2.0,6.57
226,La Liga,Getafe,Davinchi,22,3,19,0,1.0,6.37
227,La Liga,Atlético Madrid,Julián Alvarez,21,3,5,0,0.0,6.96
228,La Liga,Girona FC,Alejandro Francés,21,12,51,0,3.0,6.86
229,La Liga,Elche,Martim Neto,21,2,13,1,1.0,6.8
230,La Liga,Athletic Club,Aitor Paredes,21,26,72,0,4.0,6.8
231,La Liga,Levante UD,Víctor García,21,9,15,0,4.0,6.79
232,La Liga,Athletic Club,Jesús Areso,21,18,44,0,8.0,6.7
233,La Liga,Espanyol,Ramón Terrats,21,11,7,0,5.0,6.6
234,La Liga,Real Betis,Junior Firpo,21,8,25,1,1.0,6.56
235,La Liga,Levante UD,Alan Matturro,21,6,78,0,6.0,6.52
236,La Liga,Girona FC,Azzedine Ounahi,20,16,8,0,1.0,7.2
237,La Liga,Villarreal,Juan Foyth,20,16,56,0,10.0,7.15
238,La Liga,Osasuna,Ante Budimir,20,6,44,0,6.0,6.91
239,La Liga,Getafe,Zaid Romero,20,25,71,0,2.0,6.81
240,La Liga,Girona FC,Joel Roca,20,2,11,0,1.0,6.74
241,La Liga,Levante UD,Oriol Rey,20,9,33,0,4.0,6.71
242,La Liga,Real Madrid,Franco Mastantuono,20,2,3,0,0.0,6.69
243,La Liga,Villarreal,Ayoze Pérez,20,4,7,0,0.0,6.68
244,La Liga,Valencia,Jesús Vázquez,20,2,29,0,3.0,6.63
245,La Liga,Mallorca,Antonio Sánchez,20,11,22,0,3.0,6.55
246,La Liga,Levante UD,Kareem Tunde,20,14,3,0,0.0,6.52
247,La Liga,Deportivo Alavés,Jon Guridi,20,6,16,0,2.0,6.42
248,La Liga,Elche,Álvaro Rodriguez,19,3,23,0,1.0,6.91
249,La Liga,Real Oviedo,Dani Calvo,19,9,117,0,17.0,6.86
250,La Liga,Levante UD,Ugo Raghouber,19,12,16,0,0.0,6.85
251,La Liga,Elche,Tete Morente,19,5,16,0,5.0,6.71
252,La Liga,Real Madrid,Fran García,19,6,14,0,3.0,6.66
253,La Liga,Mallorca,Mateu Morey,19,7,30,1,3.0,6.5
254,La Liga,Atlético Madrid,Marc Pubill,18,18,73,0,14.0,7.19
255,La Liga,Real Betis,Giovani Lo Celso,18,5,6,0,0.0,7.01
256,La Liga,Real Madrid,Dani Ceballos,18,7,5,1,4.0,6.94
257,La Liga,FC Barcelona,Marc Bernal,18,6,14,0,2.0,6.89
258,La Liga,Atlético Madrid,Obed Vargas,18,7,8,0,3.0,6.82
259,La Liga,Sevilla,Chidera Ejuke,18,6,3,0,1.0,6.82
260,La Liga,Celta Vigo,Javier Rueda,18,17,30,0,5.0,6.82
261,La Liga,Villarreal,Renato Veiga,18,23,150,0,29.0,6.78
262,La Liga,Mallorca,Pablo Torre,18,8,13,0,2.0,6.77
263,La Liga,Villarreal,Thomas Partey,18,13,18,1,4.0,6.69
264,La Liga,Sevilla,Alexis Sánchez,18,6,3,0,0.0,6.62
265,La Liga,Real Sociedad,Pablo Marín,18,5,13,0,1.0,6.48
266,La Liga,Osasuna,Moi Gómez,17,9,9,1,1.0,6.9
267,La Liga,FC Barcelona,Marc Casadó,17,7,7,0,3.0,6.73
268,La Liga,Valencia,Unai Núñez,17,7,32,0,5.0,6.72
269,La Liga,Atlético Madrid,Conor Gallagher,17,11,5,0,3.0,6.64
270,La Liga,Athletic Club,Mikel Vesga,17,9,10,0,0.0,6.6
271,La Liga,Elche,Buba Sangare,17,5,10,0,1.0,6.58
272,La Liga,Atlético Madrid,Alex Baena,16,15,10,0,4.0,7.0
273,La Liga,FC Barcelona,Ronald Araújo,16,9,34,0,4.0,6.89
274,La Liga,Levante UD,Pablo Martínez,16,18,27,0,10.0,6.84
275,La Liga,Atlético Madrid,Clément Lenglet,16,21,69,1,6.0,6.81
276,La Liga,Valencia,Diego López,16,9,9,0,2.0,6.67
277,La Liga,Elche,Rafa Mir,16,5,19,0,1.0,6.66
278,La Liga,Getafe,Sebastián Boselli,16,1,18,0,1.0,6.63
279,La Liga,Atlético Madrid,Rodrigo Mendoza,16,4,13,0,2.0,6.57
280,La Liga,Villarreal,Gerard Moreno,15,3,15,0,1.0,7.12
281,La Liga,Athletic Club,Nico Williams,15,7,9,0,0.0,6.98
282,La Liga,Real Madrid,Raúl Asencio,15,8,51,0,10.0,6.97
283,La Liga,Celta Vigo,Hugo Álvarez,15,10,7,0,0.0,6.81
284,La Liga,Valencia,Hugo Duro,15,4,20,0,6.0,6.69
285,La Liga,Real Madrid,Brahim Díaz,15,2,4,0,0.0,6.65
286,La Liga,Deportivo Alavés,Youssef Enriquez,15,10,35,0,1.0,6.64
287,La Liga,Real Betis,Rodrigo Riquelme,15,5,7,0,0.0,6.61
288,La Liga,Elche,John Donald,15,6,16,0,1.0,6.55
289,La Liga,Athletic Club,Gorka Guruzeta,15,11,15,0,1.0,6.54
290,La Liga,Sevilla,Isaac Romero,15,6,18,0,1.0,6.49
291,La Liga,Athletic Club,Adama Boiro,15,14,13,1,1.0,6.45
292,La Liga,Valencia,Dimitri Foulquier,15,8,40,0,1.0,6.38
293,La Liga,Athletic Club,Íñigo Lekue,15,4,17,1,0.0,6.29
294,La Liga,Osasuna,Raúl García de Haro,14,7,14,0,1.0,6.75
295,La Liga,Sevilla,Ruben Vargas,14,7,13,0,1.0,6.75
296,La Liga,Deportivo Alavés,Ángel Pérez,14,7,18,0,1.0,6.68
297,La Liga,Mallorca,Jan Virgili,14,6,9,0,2.0,6.65
298,La Liga,Rayo Vallecano,Fran Pérez,14,2,3,0,2.0,6.58
299,La Liga,Sevilla,Tanguy Nianzou,14,4,50,0,1.0,6.48
300,La Liga,FC Barcelona,Raphinha,13,4,11,0,0.0,7.45
301,La Liga,Real Madrid,Rodrygo,13,3,4,0,0.0,6.92
302,La Liga,Celta Vigo,Iago Aspas,13,12,2,0,0.0,6.87
303,La Liga,Atlético Madrid,Antoine Griezmann,13,5,10,0,1.0,6.87
304,La Liga,Valencia,Largie Ramazani,13,13,7,0,0.0,6.85
305,La Liga,Elche,André Silva,13,4,18,0,1.0,6.82
306,La Liga,Real Betis,Nelson Deossa,13,4,11,0,0.0,6.81
307,La Liga,Atlético Madrid,Alexander Sørloth,13,0,23,0,2.0,6.79
308,La Liga,Valencia,Arnaut Danjuma,13,2,6,0,1.0,6.77
309,La Liga,Celta Vigo,Fer López,13,3,7,1,2.0,6.7
310,La Liga,Celta Vigo,Carlos Domínguez,13,5,43,1,5.0,6.69
311,La Liga,Athletic Club,Robert Navarro,13,7,8,0,1.0,6.67
312,La Liga,Celta Vigo,Yoel Lago,13,4,43,0,9.0,6.67
313,La Liga,Celta Vigo,Manu Fernández,13,8,34,0,3.0,6.65
314,La Liga,Sevilla,Marcão,13,5,59,1,5.0,6.65
315,La Liga,Deportivo Alavés,Facundo Garcés,13,7,68,0,9.0,6.62
316,La Liga,Celta Vigo,Pablo Durán,13,4,15,0,2.0,6.58
317,La Liga,Elche,Grady Diangana,13,4,8,0,3.0,6.54
318,La Liga,Espanyol,Charles Pickel,13,6,10,0,3.0,6.52
319,La Liga,Real Sociedad,Aritz Elustondo,13,9,37,0,3.0,6.51
320,La Liga,Valencia,Baptiste Santamaria,12,7,30,0,2.0,6.83
321,La Liga,Real Betis,Álvaro Fidalgo,12,2,9,0,0.0,6.83
322,La Liga,Elche,Josan,12,5,4,0,1.0,6.8
323,La Liga,Real Sociedad,Luka Sučić,12,3,12,0,0.0,6.78
324,La Liga,Real Oviedo,Santi Cazorla,12,3,7,0,1.0,6.78
325,La Liga,Osasuna,Iker Muñoz,12,11,23,0,2.0,6.71
326,La Liga,Rayo Vallecano,Luiz Felipe,12,8,24,0,3.0,6.68
327,La Liga,Deportivo Alavés,Ander Guevara,12,7,27,0,2.0,6.63
328,La Liga,Real Oviedo,Josip Brekalo,12,3,1,0,0.0,6.6
329,La Liga,Athletic Club,Unai Gómez,12,0,6,0,1.0,6.54
330,La Liga,Real Madrid,Antonio Rüdiger,11,4,50,0,4.0,6.91
331,La Liga,Levante UD,Carlos Espí,11,5,13,0,1.0,6.86
332,La Liga,Real Madrid,Trent Alexander-Arnold,11,13,8,0,3.0,6.85
333,La Liga,Sevilla,Peque Fernández,11,1,2,0,0.0,6.8
334,La Liga,Real Madrid,Dani Carvajal,11,4,20,0,6.0,6.76
335,La Liga,Espanyol,Kike García,11,6,19,1,1.0,6.65
336,La Liga,Deportivo Alavés,Carlos Benavídez,11,2,13,0,3.0,6.65
337,La Liga,Espanyol,Roberto Fernández,11,6,25,0,5.0,6.6
338,La Liga,Real Madrid,Gonzalo García,11,3,5,0,0.0,6.59
339,La Liga,Real Oviedo,Eric Bailly,10,15,73,0,15.0,7.03
340,La Liga,Celta Vigo,Bryan Zaragoza,10,2,5,0,0.0,6.86
