#,League,Team,Name,Total saves,Clean sheets,Penalties saved,Saves from inside box,Runs out,Average Sofascore rating
1,La Liga,Real Oviedo,Aarón Escandell,139,9,2,93,33,7.25
2,La Liga,Espanyol,Marko Dmitrović,123,9,0,80,25,7.07
3,La Liga,Levante UD,Mathew Ryan,112,8,1,79,23,7.2
4,La Liga,Osasuna,Sergio Herrera,110,7,0,59,42,7.01
5,La Liga,Girona FC,Paulo Gazzaniga,108,6,0,75,21,7.07
6,La Liga,Getafe,David Soria,106,10,2,72,25,7.21
7,La Liga,Celta Vigo,Ionuț Radu,100,9,2,65,13,7.01
8,La Liga,Mallorca,Leo Román,98,3,1,60,14,7.07
9,La Liga,Athletic Club,Unai Simón,94,6,2,61,60,6.89
10,La Liga,Real Sociedad,Álex Remiro,93,3,0,57,26,6.96
11,La Liga,Deportivo Alavés,Antonio Sivera,92,3,0,67,24,6.95
12,La Liga,Sevilla,Odysseas Vlachodimos,87,5,1,65,10,6.96
13,La Liga,Rayo Vallecano,Augusto Batalla,85,10,1,60,22,6.99
14,La Liga,Real Betis,Álvaro Valles,81,8,1,54,19,7.0
15,La Liga,Villarreal,Luiz Júnior,73,8,1,46,23,6.99
16,La Liga,FC Barcelona,Joan García,72,14,0,59,49,7.35
17,La Liga,Atlético Madrid,Jan Oblak,64,10,0,43,14,7.0
18,La Liga,Real Madrid,Thibaut Courtois,58,11,0,36,15,6.92
19,La Liga,Elche,Matías Dituro,55,3,0,36,21,7.45
20,La Liga,Elche,Iñaki Peña,55,4,0,41,17,7.19
21,La Liga,Valencia,Julen Agirrezabala,54,4,1,38,21,6.91
22,La Liga,Valencia,Stole Dimitrievski,42,4,0,27,9,7.08
23,La Liga,Real Betis,Pau López,30,2,1,18,9,7.08
24,La Liga,Villarreal,Arnau Tenas,20,0,0,15,3,6.99
25,La Liga,FC Barcelona,Wojciech Szczęsny,17,0,1,13,12,7.17
26,La Liga,Real Madrid,Andriy Lunin,16,1,0,10,3,7.08
27,La Liga,Mallorca,Lucas Bergström,15,2,0,12,6,7.06
28,La Liga,Atlético Madrid,Juan Musso,15,3,0,9,4,6.88
29,La Liga,Levante UD,Pablo Cuñat,11,0,0,6,0,7.75
30,La Liga,Rayo Vallecano,Dani Cárdenas,10,1,1,6,3,7.43
31,La Liga,Sevilla,Ørjan Nyland,9,1,0,5,2,6.65
32,La Liga,Osasuna,Aitor Fernández,7,0,0,4,0,8.4
33,La Liga,Girona FC,Vladyslav Krapyvtsov,4,0,0,3,0,7.1
34,La Liga,Girona FC,Marc-André Ter Stegen,4,0,0,3,0,6.7
