#,League,Team,Name,Big chances created,Assists,Accurate passes,Accurate passes %,Key passes,Average Sofascore rating
1,La Liga,FC Barcelona,Lamine Yamal,26,11,1094,81.1,73,7.93
2,La Liga,Real Madrid,Arda Güler,14,9,1216,90.68,70,7.19
3,La Liga,FC Barcelona,Fermín López,15,9,725,87.14,34,7.1
4,La Liga,Getafe,Luis Milla,11,9,964,77.55,74,7.03
5,La Liga,FC Barcelona,Pedri,8,8,1681,91.31,58,7.58
6,La Liga,Real Betis,Abdessamad Ezzalzouli,11,8,580,79.34,28,7.32
7,La Liga,Real Madrid,Federico Valverde,8,8,1627,89.94,43,7.31
8,La Liga,FC Barcelona,Dani Olmo,9,7,940,85.77,44,7.06
9,La Liga,FC Barcelona,Marcus Rashford,7,7,564,84.56,42,6.86
10,La Liga,Villarreal,Nicolas Pépé,12,6,661,81.81,53,7.23
11,La Liga,Real Betis,Antony,9,6,861,81.53,50,7.2
12,La Liga,Espanyol,Edu Expósito,11,6,711,76.78,75,7.07
13,La Liga,Atlético Madrid,Giuliano Simeone,9,6,744,81.85,31,6.92
14,La Liga,Villarreal,Santi Comesaña,3,6,971,82.99,26,6.87
15,La Liga,Real Madrid,Vinicius Júnior,6,5,885,83.89,65,7.55
16,La Liga,FC Barcelona,Frenkie de Jong,9,5,1383,94.21,32,7.31
17,La Liga,Real Betis,Pablo Fornals,10,5,1448,86.45,83,7.09
18,La Liga,Athletic Club,Yuri Berchiche,5,5,1178,87.39,27,6.95
19,La Liga,Villarreal,Georges Mikautadze,7,5,268,74.03,25,6.92
20,La Liga,Elche,Álvaro Rodriguez,7,5,314,64.08,33,6.91
21,La Liga,Mallorca,Sergi Darder,12,5,846,84.01,57,6.91
22,La Liga,Real Sociedad,Ander Barrenetxea,11,5,570,80.17,44,6.86
23,La Liga,Celta Vigo,Javier Rueda,6,5,354,75.48,12,6.82
24,La Liga,Osasuna,Rubén García,7,5,603,79.34,38,6.81
25,La Liga,Valencia,Luis Rioja,6,5,604,79.79,33,6.81
26,La Liga,Elche,Martim Neto,4,5,529,87.87,25,6.8
27,La Liga,Rayo Vallecano,Álvaro García,15,5,351,68.29,42,6.77
28,La Liga,Sevilla,Ruben Vargas,4,5,353,71.31,23,6.75
29,La Liga,Celta Vigo,Williot Swedberg,4,5,204,76.98,10,6.73
30,La Liga,Valencia,Javier Guerra,5,5,729,81.45,25,6.69
31,La Liga,Real Madrid,Brahim Díaz,5,5,393,89.93,24,6.65
32,La Liga,Real Madrid,Kylian Mbappé,8,4,795,86.7,63,7.63
33,La Liga,Real Madrid,Jude Bellingham,4,4,929,89.5,36,7.25
34,La Liga,Real Sociedad,Takefusa Kubo,7,4,380,79.17,32,7.06
35,La Liga,Elche,Germán Valera,13,4,946,87.76,43,6.97
36,La Liga,Atlético Madrid,Marcos Llorente,9,4,1213,89.39,19,6.96
37,La Liga,Atlético Madrid,Julián Alvarez,10,4,575,83.45,47,6.96
38,La Liga,Girona FC,Viktor Tsygankov,4,4,728,82.54,43,6.94
39,La Liga,Celta Vigo,Óscar Mingueza,6,4,1010,84.8,29,6.93
40,La Liga,Real Sociedad,Gonçalo Guedes,6,4,418,74.91,25,6.91
41,La Liga,Villarreal,Alberto Moleiro,8,4,548,78.29,35,6.9
42,La Liga,Osasuna,Jon Moncayola,9,4,1037,80.26,34,6.86
43,La Liga,Real Madrid,Trent Alexander-Arnold,3,4,635,85.81,24,6.85
44,La Liga,Levante UD,Pablo Martínez,9,4,455,76.99,28,6.84
45,La Liga,Real Sociedad,Sergio Gómez,13,4,1239,86.95,43,6.81
46,La Liga,Villarreal,Sergi Cardona,4,4,555,80.79,19,6.76
47,La Liga,Espanyol,Tyrhys Dolan,6,4,445,83.18,30,6.74
48,La Liga,Mallorca,Johan Mojica,6,4,926,79.42,34,6.71
49,La Liga,Levante UD,Etta Eyong,4,4,191,68.95,14,6.68
50,La Liga,Real Oviedo,Thiago Fernández,4,4,165,82.91,10,6.66
51,La Liga,Mallorca,Jan Virgili,7,4,281,75.95,25,6.65
52,La Liga,Athletic Club,Iñaki Williams,5,4,311,71.33,19,6.58
53,La Liga,Deportivo Alavés,Carles Aleñá,6,4,725,85.29,38,6.56
54,La Liga,FC Barcelona,Raphinha,11,3,485,81.79,41,7.45
55,La Liga,Real Sociedad,Mikel Oyarzabal,12,3,561,76.74,40,7.07
56,La Liga,Real Betis,Giovani Lo Celso,6,3,691,88.25,28,7.01
57,La Liga,Atlético Madrid,Alex Baena,13,3,536,81.09,42,7.0
58,La Liga,Deportivo Alavés,Toni Martínez,6,3,367,59.58,24,7.0
59,La Liga,Real Sociedad,Carlos Soler,8,3,940,87.04,44,7.0
60,La Liga,Athletic Club,Nico Williams,5,3,431,77.66,34,6.98
61,La Liga,Real Madrid,Rodrygo,7,3,294,90.74,17,6.92
62,La Liga,FC Barcelona,Jules Koundé,6,3,1616,91.25,22,6.91
63,La Liga,Rayo Vallecano,Andrei Rațiu,10,3,998,82.34,41,6.88
64,La Liga,Celta Vigo,Iago Aspas,7,3,442,78.37,29,6.87
65,La Liga,Celta Vigo,Ferran Jutglà,2,3,288,76.6,14,6.86
66,La Liga,Real Betis,Cucho Hernández,8,3,437,71.64,31,6.85
67,La Liga,Valencia,Filip Ugrinić,5,3,493,84.13,20,6.83
68,La Liga,Real Oviedo,Haissem Hassan,2,3,355,80.32,19,6.83
69,La Liga,Real Sociedad,Beñat Turrientes,1,3,519,85.79,11,6.81
70,La Liga,Elche,Josan,4,3,217,89.3,21,6.8
71,La Liga,Levante UD,Jon Ander Olasagasti,4,3,452,75.46,30,6.79
72,La Liga,Real Betis,Héctor Bellerín,5,3,756,87.6,22,6.78
73,La Liga,Rayo Vallecano,Unai López,2,3,805,86.37,29,6.78
74,La Liga,Atlético Madrid,Matteo Ruggeri,5,3,690,87.01,25,6.77
75,La Liga,Sevilla,Djibril Sow,2,3,719,88.44,19,6.77
76,La Liga,Mallorca,Pablo Torre,3,3,591,84.55,29,6.77
77,La Liga,Villarreal,Alfonso Pedraza,6,3,414,78.26,20,6.77
78,La Liga,Real Sociedad,Jon Gorrotxategi,2,3,1111,86.86,18,6.74
79,La Liga,Rayo Vallecano,Isi Palazón,9,3,719,82.45,39,6.73
80,La Liga,Sevilla,Oso,3,3,284,74.93,18,6.72
81,La Liga,Sevilla,Akor Adams,1,3,206,64.38,10,6.68
82,La Liga,Villarreal,Ayoze Pérez,2,3,163,75.46,14,6.68
83,La Liga,Deportivo Alavés,Ángel Pérez,2,3,302,74.94,21,6.68
84,La Liga,Deportivo Alavés,Abderrahman Rebbach,7,3,322,80.3,26,6.67
85,La Liga,Sevilla,Juanlu Sánchez,5,3,622,83.49,21,6.66
86,La Liga,Mallorca,Mateo Joseph,3,3,246,81.46,14,6.66
87,La Liga,Sevilla,José Ángel Carmona,3,3,854,80.57,17,6.64
88,La Liga,Girona FC,Álex Moreno,5,3,756,83.26,11,6.64
