#,Player ID,League,Team,Name,Sofascore Rating,Goals,xG,Big chances missed,Total shots,Shots on target,Shots off target,Goal conversion %,Succ. dribbles,Succ. dribbles %,Goals inside box,Goals outside box,Headed goals,Left-footed goals,Right-footed goals,Hit woodwork,Offsides,Penalties won,Penalties taken,Penalty goals,Penalty conversion %,Free kick goals,Shots from set piece,Set piece conv. %,Tackles,Interceptions,Clearances,Blocked shots,Dribbled past,Errors leading to goal,Errors leading to shot,Penalties committed,Own goals,Clean sheets,Big chances created,Assists,Passes to assist,Key passes,Total passes,Accurate passes,Inaccurate passes,Accurate passes %,Passes in own half,Passes in opp. half,Acc. final third passes,Accurate crosses,Accurate crosses %,Accurate long balls,Accurate long balls %,Appearances,Started,Minutes played,Yellow cards,Red cards,Fouls,Was fouled,Possession lost,Dispossessed,Total duels won,Total duels won %,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %
1,599192,Ligue 1,Le Havre,Lionel Mpasi Nzau,7.83,0,,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,5,0.0,0,0,0,0,0,1,0,0,0,0,149,103,46,69.13,82,21,4,0,0.0,31,40.26,4,3,315,2,0,0,1,46,0,2,100.0,0,0.0,2,100.0
2,2165037,Ligue 1,RC Lens,Mezian Mesloub,7.7,1,0.16,0,1,1,0,100.0,0,0.0,1,0,0,1,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,4,3,1,75.0,2,1,1,0,0.0,1,100.0,1,0,11,0,0,0,0,3,0,0,0.0,0,0.0,0,0.0
3,788180,Ligue 1,Olympique Lyonnais,Rémy Descamps,7.66,0,,0,0,0,0,0.0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,3,0.0,1,0,0,0,1,4,0,0,0,0,135,100,35,74.07,96,4,1,0,0.0,16,34.04,5,5,450,0,0,0,0,37,0,1,50.0,1,50.0,0,0.0
4,902029,Ligue 1,Paris Saint-Germain,Vitinha,7.62,1,1.0,0,32,10,12,3.13,12,70.59,0,1,0,0,1,0,0,0,0,0,0.0,0,2,0.0,23,25,22,5.0,14,0,1,0,0,10,8,7,0,34,2602,2443,159,93.89,981,1462,617,7,31.82,165,75.69,27,23,2008,2,0,13,19,214,9,57,58.76,54,58.7,3,60.0
5,963298,Ligue 1,RC Strasbourg,Dilane Bakwa,7.53,1,0.15,0,2,1,0,50.0,5,55.56,1,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,1,1,1,0.0,1,0,0,0,0,0,2,2,0,3,42,37,5,88.1,9,28,16,2,28.57,2,66.67,3,0,105,0,0,0,4,19,1,10,62.5,10,62.5,0,0.0
6,818244,Ligue 1,Paris Saint-Germain,Ousmane Dembélé,7.47,10,6.4,3,43,17,19,23.26,18,60.0,9,1,1,4,5,1,8,0,3,2,66.67,0,1,0.0,5,0,1,0.0,2,0,1,0,0,0,8,6,0,39,690,575,115,83.33,94,481,320,11,23.91,29,78.38,20,9,959,0,0,3,3,187,11,28,46.67,26,48.15,2,33.33
7,1049442,Ligue 1,Paris FC,Ilan Kebbal,7.41,9,6.53,4,49,19,21,18.37,32,45.07,7,2,0,7,2,1,3,1,4,3,75.0,0,0,0.0,32,8,7,0.0,18,0,0,0,0,2,7,4,0,58,1415,1220,195,86.22,472,748,404,21,19.27,79,72.48,28,26,2206,7,0,15,61,420,45,126,49.41,124,51.67,2,13.33
8,156236,Ligue 1,Nantes,Patrik Carlgren,7.37,0,,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,6,0.0,0,0,0,0,0,1,0,0,0,0,61,28,33,45.9,21,7,3,0,0.0,10,23.26,3,2,188,0,0,0,1,33,0,2,100.0,1,100.0,1,100.0
9,867299,Ligue 1,Angers,Hervé Koffi,7.35,0,,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,0,27,0.0,0,1,3,1,0,10,0,0,0,0,841,589,252,70.04,538,51,12,0,0.0,138,36.51,29,29,2610,1,0,1,11,262,0,18,90.0,11,91.67,7,87.5
10,347010,Ligue 1,RC Lens,Allan Saint-Maximin,7.34,3,1.31,1,17,3,7,17.65,13,54.17,0,3,0,1,2,1,1,0,0,0,0.0,0,0,0.0,3,1,0,0.0,0,0,0,0,0,0,2,3,0,16,157,136,21,86.62,22,114,80,6,30.0,9,75.0,9,2,374,0,0,3,7,76,15,25,43.86,23,44.23,2,40.0
11,942116,Ligue 1,Olympique de Marseille,Mason Greenwood,7.33,16,14.28,4,112,47,36,14.29,49,49.49,13,3,0,5,11,3,0,1,8,6,75.0,0,7,0.0,14,4,2,1.0,18,0,0,0,0,3,12,6,2,57,1211,993,218,82.0,275,718,421,28,26.42,74,65.49,31,28,2379,4,0,22,32,445,26,97,44.29,95,45.24,2,22.22
12,40973,Ligue 1,RC Strasbourg,Karl-Johan Johnsson,7.3,0,,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,3,0.0,0,0,0,0,0,1,0,0,0,0,32,25,7,78.13,23,2,1,0,0.0,4,36.36,1,1,90,0,0,0,0,7,0,1,100.0,0,0.0,1,100.0
13,155995,Ligue 1,Paris Saint-Germain,Marquinhos,7.3,0,0.12,0,2,0,1,0.0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,15,7,35,3.0,1,0,1,1,1,6,0,0,0,2,854,812,42,95.08,434,378,146,0,0.0,50,68.49,13,10,959,0,0,8,2,48,2,40,60.61,19,65.52,21,56.76
14,122810,Ligue 1,Lille,Aïssa Mandi,7.27,1,1.19,0,14,4,5,7.14,4,66.67,1,0,1,0,0,0,1,0,0,0,0.0,0,0,0.0,33,43,104,15.0,9,0,2,0,0,10,1,0,0,9,1810,1660,150,91.71,1044,616,211,1,11.11,142,66.36,28,27,2345,8,0,17,17,183,3,95,67.38,53,63.86,42,72.41
15,1108441,Ligue 1,Paris Saint-Germain,Lucas Beraldo,7.27,2,1.66,0,14,4,7,14.29,0,0.0,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0.0,25,20,58,6.0,10,0,0,0,0,7,3,1,0,14,1280,1197,83,93.52,704,493,192,0,0.0,42,62.69,18,16,1390,2,0,15,6,98,2,64,52.46,31,51.67,33,53.23
16,996952,Ligue 1,Paris Saint-Germain,Bradley Barcola,7.26,10,10.43,15,64,29,19,15.63,35,42.17,7,3,2,2,6,1,6,1,0,0,0.0,0,0,0.0,29,12,6,1.0,12,0,0,0,0,4,10,1,0,37,690,578,112,83.77,114,464,308,5,20.0,12,85.71,27,19,1647,2,0,19,10,251,22,83,43.01,74,42.53,9,47.37
17,847494,Ligue 1,Lille,Berke Özer,7.25,0,,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,3,0,22,0.0,2,0,1,0,0,13,0,1,0,2,1017,806,211,79.25,712,94,31,0,0.0,139,40.29,31,31,2744,4,0,0,13,215,0,22,84.62,13,86.67,9,81.82
18,989768,Ligue 1,Paris Saint-Germain,Nuno Mendes,7.24,4,4.33,3,30,15,8,13.33,25,49.02,3,1,1,2,1,1,3,0,1,1,100.0,1,5,20.0,25,13,18,4.0,7,0,0,1,0,5,11,5,0,30,957,856,101,89.45,355,501,273,15,33.33,51,64.56,20,13,1251,1,0,12,25,219,13,83,56.08,75,56.82,8,50.0
