#,League,Team,Name,Goals,Expected goals (xG),Big chances missed,Succ. dribbles,Total shots,Goal conversion %,Average Sofascore rating
1,Ligue 1,Stade Rennais,Esteban Lepaul,19,14.26,8,8,79,24.05,7.01
2,Ligue 1,RC Strasbourg,Joaquin Panichelli,16,14.21,13,11,59,27.12,6.89
3,Ligue 1,Olympique de Marseille,Mason Greenwood,15,13.43,4,48,110,13.64,7.32
4,Ligue 1,AS Monaco,Folarin Balogun,13,13.03,11,14,71,18.31,6.79
5,Ligue 1,RC Lens,Odsonne Édouard,12,11.24,17,16,56,21.43,6.91
6,Ligue 1,Olympique Lyonnais,Pavel Šulc,11,8.77,5,15,42,26.19,6.96
7,Ligue 1,Paris Saint-Germain,Ousmane Dembélé,10,6.4,3,18,43,23.26,7.52
8,Ligue 1,Paris Saint-Germain,Bradley Barcola,10,10.43,15,35,64,15.63,7.28
9,Ligue 1,RC Lens,Florian Thauvin,10,10.63,10,46,70,14.29,7.24
10,Ligue 1,Olympique Lyonnais,Corentin Tolisso,10,10.01,7,4,47,21.28,7.15
11,Ligue 1,Lorient,Pablo Pagis,10,7.58,3,23,56,17.86,7.1
12,Ligue 1,RC Lens,Wesley Saïd,10,8.67,10,25,52,19.23,7.07
13,Ligue 1,AS Monaco,Ansu Fati,10,9.38,9,11,39,25.64,6.84
14,Ligue 1,Paris FC,Ilan Kebbal,9,6.53,4,32,49,18.37,7.44
15,Ligue 1,Auxerre,Lassine Sinayoko,9,11.36,13,29,85,10.59,6.93
16,Ligue 1,Olympique de Marseille,Pierre-Emerick Aubameyang,9,12.09,16,10,52,17.31,6.92
17,Ligue 1,Lorient,Ahmadou Bamba Dieng,9,7.62,9,6,41,21.95,6.8
18,Ligue 1,Toulouse,Yann Gboho,8,5.81,3,76,54,14.81,7.07
19,Ligue 1,Lille,Matías Fernández-Pardo,8,8.63,13,33,65,12.31,7.07
20,Ligue 1,Metz,Gauthier Hein,8,7.87,2,7,41,19.51,7.0
21,Ligue 1,Lille,Hakon Arnar Haraldsson,8,7.77,8,19,49,16.33,6.96
22,Ligue 1,RC Strasbourg,Martial Godo,8,7.42,8,17,36,22.22,6.85
23,Ligue 1,Stade Brestois,Romain Del Castillo,8,7.99,4,29,30,26.67,6.76
24,Ligue 1,Stade Rennais,Breel Embolo,8,8.17,6,14,36,22.22,6.65
25,Ligue 1,Paris Saint-Germain,Khvicha Kvaratskhelia,7,7.33,7,40,63,11.11,7.22
26,Ligue 1,Le Havre,Issa Soumaré,7,13.57,17,23,73,9.59,7.04
27,Ligue 1,Olympique de Marseille,Amine Gouiri,7,5.52,5,17,34,20.59,6.96
28,Ligue 1,Stade Brestois,Ludovic Ajorque,7,7.82,8,11,48,14.58,6.92
29,Ligue 1,Nice,Sofiane Diop,7,6.01,2,28,48,14.58,6.89
30,Ligue 1,Lille,Olivier Giroud,7,8.17,7,3,40,17.5,6.63
31,Ligue 1,Paris Saint-Germain,Désiré Doué,6,7.63,8,28,49,12.24,7.11
32,Ligue 1,AS Monaco,Maghnes Akliouche,6,7.13,6,23,46,13.04,7.07
33,Ligue 1,Nantes,Matthis Abline,6,7.95,8,51,85,7.06,6.96
34,Ligue 1,Olympique de Marseille,Igor Paixão,6,5.95,5,26,50,12.0,6.91
35,Ligue 1,Stade Rennais,Mousa Tamari,6,4.79,2,30,57,10.53,6.9
36,Ligue 1,Paris Saint-Germain,Gonçalo Ramos,6,8.51,13,17,55,10.91,6.6
37,Ligue 1,Toulouse,Emersonn,6,7.37,9,10,52,11.54,6.53
38,Ligue 1,Olympique Lyonnais,Endrick,5,5.76,8,34,40,12.5,7.21
39,Ligue 1,Paris Saint-Germain,João Neves,5,2.52,1,8,23,21.74,7.19
40,Ligue 1,Lille,Hamza Igamane,5,3.57,1,13,23,21.74,6.94
41,Ligue 1,AS Monaco,Aleksandr Golovin,5,3.72,3,19,34,14.71,6.85
42,Ligue 1,Stade Brestois,Kamory Doumbia,5,4.5,3,14,38,13.16,6.84
43,Ligue 1,Stade Rennais,Ludovic Blas,5,4.59,2,21,42,11.9,6.82
