#,League,Team,Name,Tackles,Interceptions,Clearances,Errors leading to goal,Blocked shots,Average Sofascore rating
1,Ligue 1,RC Lens,Adrien Thomasson,91,18,26,0,4.0,6.91
2,Ligue 1,RC Lens,Mamadou Sangare,82,40,28,0,4.0,7.09
3,Ligue 1,Nantes,Johann Lepenant,79,27,21,0,3.0,6.84
4,Ligue 1,Toulouse,Cristian Cásseres Jr.,76,33,34,0,9.0,7.15
5,Ligue 1,Stade Rennais,Valentin Rongier,71,37,57,0,9.0,7.23
6,Ligue 1,Auxerre,Kévin Danois,70,37,13,0,2.0,7.04
7,Ligue 1,RC Strasbourg,Samir El Mourabet,70,25,21,2,11.0,6.98
8,Ligue 1,Metz,Koffi Kouao,70,29,68,0,13.0,6.86
9,Ligue 1,Angers,Haris Belkebla,67,28,42,1,8.0,6.77
10,Ligue 1,Stade Brestois,Hugo Magnetti,65,42,54,1,3.0,6.84
11,Ligue 1,Auxerre,Elisha Owusu,65,23,44,0,8.0,6.81
12,Ligue 1,Stade Brestois,Joris Chotard,63,43,87,0,11.0,6.94
13,Ligue 1,Lille,Benjamin André,62,31,40,0,5.0,7.14
14,Ligue 1,Nice,Jonathan Clauss,62,46,61,0,6.0,6.96
15,Ligue 1,Le Havre,Rassoul Ndiaye,61,14,17,0,2.0,7.0
16,Ligue 1,Paris FC,Pierre Lees Melou,61,19,36,1,8.0,6.93
17,Ligue 1,AS Monaco,Thilo Kehrer,61,29,101,1,23.0,6.91
18,Ligue 1,RC Lens,Malang Sarr,60,73,129,0,23.0,7.24
19,Ligue 1,AS Monaco,Jordan Teze,59,27,57,0,10.0,6.98
20,Ligue 1,Angers,Yassin Belkhdim,59,36,23,0,6.0,6.76
21,Ligue 1,Stade Brestois,Romain Del Castillo,57,26,23,0,1.0,6.76
22,Ligue 1,Angers,Jacques Ekomié,57,30,47,0,10.0,6.56
23,Ligue 1,Auxerre,Marvin Senaya,56,34,75,0,13.0,6.83
24,Ligue 1,Lille,Ayyoub Bouaddi,56,25,23,0,7.0,6.7
25,Ligue 1,Lorient,Arthur Avom Ebong,55,30,24,0,3.0,6.99
26,Ligue 1,Stade Brestois,Kamory Doumbia,55,19,5,1,0.0,6.84
27,Ligue 1,Olympique Lyonnais,Ainsley Maitland-Niles,55,32,70,0,4.0,6.79
28,Ligue 1,Stade Rennais,Mahdi Camara,54,31,39,0,6.0,6.63
29,Ligue 1,Stade Brestois,Bradley Locko,53,11,30,0,0.0,6.71
30,Ligue 1,RC Strasbourg,Valentín Barco,52,13,11,0,0.0,7.15
31,Ligue 1,Stade Rennais,Quentin Merlin,52,33,54,1,12.0,6.91
32,Ligue 1,Paris FC,Moustapha Mbow,52,37,150,0,28.0,6.89
33,Ligue 1,Le Havre,Loic Négo,52,33,90,1,7.0,6.79
34,Ligue 1,Paris FC,Adama Camara,52,36,59,1,12.0,6.73
35,Ligue 1,Nice,Melvin Bard,52,39,73,0,14.0,6.68
36,Ligue 1,Toulouse,Dayann Methalie,51,24,31,0,3.0,6.48
37,Ligue 1,Metz,Jean-Philippe Gbamin,50,27,81,1,13.0,6.58
38,Ligue 1,AS Monaco,Lamine Camara,49,37,16,0,6.0,7.1
39,Ligue 1,RC Lens,Matthieu Udol,49,48,59,1,8.0,7.05
40,Ligue 1,Nice,Antoine Mendy,49,16,117,2,16.0,6.77
41,Ligue 1,Angers,Jordan Lefort,48,45,167,0,14.0,6.81
42,Ligue 1,Toulouse,Djibril Sidibé,48,17,48,1,4.0,6.76
43,Ligue 1,Auxerre,Gideon Mensah,48,26,66,0,3.0,6.76
44,Ligue 1,Olympique Lyonnais,Tyler Morton,47,21,40,0,13.0,7.17
45,Ligue 1,Paris Saint-Germain,Warren Zaïre-Emery,47,12,21,1,7.0,7.01
46,Ligue 1,Olympique de Marseille,Tim Weah,47,16,21,0,3.0,6.73
47,Ligue 1,Metz,Boubacar Traoré,47,14,16,1,1.0,6.72
48,Ligue 1,Le Havre,Yanis Zouaoui,47,26,59,0,13.0,6.69
49,Ligue 1,Toulouse,Aron Dønnum,46,27,14,0,3.0,7.24
50,Ligue 1,Angers,Lilian Raolisoa,46,14,43,0,3.0,6.8
51,Ligue 1,Nice,Charles Vanhoutte,45,19,44,0,10.0,6.8
52,Ligue 1,Angers,Ousmane Camara,44,31,164,1,24.0,6.86
53,Ligue 1,Olympique de Marseille,Leonardo Balerdi,44,22,88,1,9.0,6.86
54,Ligue 1,Nantes,Nicolas Cozza,44,17,95,0,11.0,6.61
55,Ligue 1,Metz,Sadibou Sané,43,36,115,0,20.0,6.92
56,Ligue 1,RC Strasbourg,Guéla Doué,43,25,90,0,6.0,6.9
57,Ligue 1,Toulouse,Mark McKenzie,43,24,90,0,11.0,6.79
58,Ligue 1,Nice,Kojo Peprah Oppong,43,25,136,0,16.0,6.75
59,Ligue 1,Metz,Jessy Deminguet,43,18,17,0,2.0,6.72
60,Ligue 1,RC Strasbourg,Diego Moreira,42,18,23,0,4.0,6.95
61,Ligue 1,Paris FC,Otávio,42,27,130,1,17.0,6.89
62,Ligue 1,Le Havre,Ayumu Seko,42,36,113,0,7.0,6.82
63,Ligue 1,Le Havre,Gautier Lloris,41,41,146,0,20.0,7.02
64,Ligue 1,Stade Rennais,Przemysław Frankowski,40,8,35,0,1.0,6.98
65,Ligue 1,Paris Saint-Germain,Willian Pacho,40,24,66,0,10.0,6.97
66,Ligue 1,Auxerre,Lassine Sinayoko,40,22,23,0,0.0,6.93
67,Ligue 1,Lille,Romain Perraud,40,23,46,0,5.0,6.87
68,Ligue 1,Lorient,Théo Le Bris,40,17,42,0,2.0,6.84
69,Ligue 1,Paris Saint-Germain,Senny Mayulu,40,7,3,0,0.0,6.74
70,Ligue 1,Auxerre,Lamine Sy,40,17,30,0,6.0,6.64
71,Ligue 1,Olympique Lyonnais,Clinton Mata,39,28,140,0,27.0,6.98
72,Ligue 1,RC Strasbourg,Junior Mwanga,39,13,27,1,7.0,6.74
73,Ligue 1,Olympique de Marseille,Emerson,38,31,46,0,8.0,6.87
74,Ligue 1,Stade Brestois,Kenny Lala,38,28,78,2,10.0,6.76
75,Ligue 1,Le Havre,Simon Ebonog,38,23,21,0,4.0,6.59
76,Ligue 1,Angers,Louis Mouton,38,14,13,0,4.0,6.56
77,Ligue 1,Metz,Maxime Colin,38,24,41,0,10.0,6.49
78,Ligue 1,AS Monaco,Maghnes Akliouche,37,17,13,1,3.0,7.07
79,Ligue 1,Le Havre,Arouna Sangante,37,35,115,0,15.0,6.8
80,Ligue 1,Toulouse,Santiago Hidalgo,37,6,11,0,1.0,6.66
81,Ligue 1,Nantes,Louis Leroux,37,4,36,0,2.0,6.62
82,Ligue 1,RC Lens,Ruben Aguilar,36,25,27,0,10.0,6.94
83,Ligue 1,Angers,Carlens Arcus,36,31,65,0,2.0,6.68
84,Ligue 1,RC Lens,Ismaelo Ganiou,35,25,102,1,11.0,7.07
85,Ligue 1,Stade Rennais,Alidu Seidu,35,17,36,1,2.0,6.86
86,Ligue 1,Nice,Tom Louchet,35,8,26,0,4.0,6.81
87,Ligue 1,AS Monaco,Mamadou Coulibaly,35,18,19,0,2.0,6.78
88,Ligue 1,Olympique de Marseille,Pierre-Emile Højbjerg,34,25,38,0,5.0,7.14
89,Ligue 1,RC Lens,Saud Abdulhamid,34,11,18,0,2.0,6.98
90,Ligue 1,Lorient,Laurent Abergel,34,27,41,1,4.0,6.91
91,Ligue 1,AS Monaco,Denis Zakaria,34,32,59,0,13.0,6.88
92,Ligue 1,Nice,Abdulay Juma Bah,34,29,136,0,29.0,6.79
93,Ligue 1,Metz,Alpha Touré,34,9,25,0,4.0,6.51
94,Ligue 1,Olympique Lyonnais,Moussa Niakhaté,33,27,171,0,19.0,7.21
95,Ligue 1,RC Lens,Samson Baidoo,33,23,83,0,25.0,7.2
96,Ligue 1,Le Havre,Issa Soumaré,33,11,44,0,6.0,7.04
97,Ligue 1,Stade Brestois,Brendan Chardonnet,33,31,180,1,40.0,6.95
98,Ligue 1,Stade Rennais,Djaoui Cissé,33,6,6,0,5.0,6.67
99,Ligue 1,Stade Brestois,Daouda Guindo,33,25,38,0,6.0,6.44
100,Ligue 1,Paris FC,Ilan Kebbal,32,8,6,0,0.0,7.44
101,Ligue 1,Lille,Aïssa Mandi,32,42,100,0,15.0,7.27
102,Ligue 1,Olympique Lyonnais,Corentin Tolisso,32,17,32,0,9.0,7.15
103,Ligue 1,Toulouse,Pape Diop,32,30,12,0,6.0,6.98
104,Ligue 1,Le Havre,Fodé Doucouré,32,8,19,0,1.0,6.84
105,Ligue 1,Lorient,Darlin Yongwa,32,11,32,0,2.0,6.55
106,Ligue 1,AS Monaco,Krépin Diatta,31,16,30,0,3.0,6.9
107,Ligue 1,Lille,Nathan Ngoy,31,34,93,0,13.0,6.86
108,Ligue 1,Nantes,Fabien Centonze,31,23,32,0,2.0,6.81
109,Ligue 1,Auxerre,Clement Akpa,31,21,87,2,8.0,6.68
110,Ligue 1,Auxerre,Josué Casimir,31,10,12,0,0.0,6.58
111,Ligue 1,Paris Saint-Germain,Désiré Doué,30,8,2,1,2.0,7.11
112,Ligue 1,Olympique Lyonnais,Afonso Moreira,30,12,12,0,0.0,7.02
113,Ligue 1,Auxerre,Sinaly Diomandé,30,29,105,0,14.0,6.89
114,Ligue 1,AS Monaco,Aladji Bamba,30,7,14,0,0.0,6.86
115,Ligue 1,Stade Rennais,Lilian Brassier,30,38,78,1,23.0,6.83
116,Ligue 1,Auxerre,Danny Namaso,30,10,21,0,2.0,6.67
117,Ligue 1,Olympique de Marseille,Quinten Timber,30,7,3,0,0.0,6.63
118,Ligue 1,Nantes,Dehmaine Tabibou,30,17,19,3,0.0,6.62
119,Ligue 1,Olympique Lyonnais,Abner Vinícius,29,7,38,0,4.0,6.84
120,Ligue 1,Lille,Thomas Meunier,29,14,51,0,2.0,6.83
121,Ligue 1,Olympique Lyonnais,Tanner Tessmann,29,14,54,1,13.0,6.83
122,Ligue 1,RC Lens,Andrija Bulatovic,29,8,10,0,2.0,6.76
123,Ligue 1,Olympique Lyonnais,Nicolás Tagliafico,29,20,35,0,5.0,6.69
124,Ligue 1,Paris FC,Hamari Traoré,29,17,36,0,1.0,6.6
125,Ligue 1,Paris Saint-Germain,Bradley Barcola,28,12,6,0,1.0,7.28
126,Ligue 1,Nantes,Chidozie Awaziem,28,20,182,0,17.0,6.95
127,Ligue 1,Nantes,Mohamed Kaba,28,14,3,0,3.0,6.8
128,Ligue 1,Olympique de Marseille,Benjamin Pavard,28,24,70,1,11.0,6.79
129,Ligue 1,AS Monaco,Christian Mawissa,28,17,44,0,6.0,6.74
130,Ligue 1,Lorient,Bamo Meïté,28,13,114,0,13.0,6.66
131,Ligue 1,Lille,Ngal'ayel Mukau,28,11,7,0,1.0,6.63
132,Ligue 1,Nantes,Kelvin Amian,28,7,72,0,10.0,6.61
133,Ligue 1,Lorient,Abdoulaye Faye,28,27,77,1,6.0,6.57
134,Ligue 1,Le Havre,Yassine Kechta,28,16,18,0,3.0,6.55
135,Ligue 1,Paris Saint-Germain,Ilya Zabarnyi,27,16,79,0,8.0,7.02
136,Ligue 1,Stade Rennais,Jérémy Jacquet,27,19,91,1,16.0,6.99
137,Ligue 1,Lille,Félix Correia,27,20,11,1,2.0,6.87
138,Ligue 1,AS Monaco,Kassoum Ouattara,27,16,21,0,0.0,6.57
139,Ligue 1,Lorient,Pablo Pagis,26,16,18,0,2.0,7.1
140,Ligue 1,RC Strasbourg,Joaquin Panichelli,26,12,32,0,8.0,6.89
141,Ligue 1,Lorient,Jean Victor Makengo,26,9,23,0,1.0,6.81
142,Ligue 1,Auxerre,Fredrik Oppegård,26,13,24,0,5.0,6.55
143,Ligue 1,Paris Saint-Germain,Nuno Mendes,25,13,18,0,4.0,7.24
144,Ligue 1,RC Lens,Florian Thauvin,25,10,7,0,2.0,7.24
145,Ligue 1,Stade Rennais,Anthony Rouault,25,16,100,0,18.0,7.11
146,Ligue 1,AS Monaco,Mohammed Salisu,25,17,84,0,21.0,7.03
147,Ligue 1,Stade Brestois,Ludovic Ajorque,25,10,40,0,6.0,6.92
