#,League,Team,Name,Total saves,Clean sheets,Penalties saved,Saves from inside box,Runs out,Average Sofascore rating
1,Ligue 1,Angers,Hervé Koffi,116,10,2,74,13,7.34
2,Ligue 1,Nantes,Anthony Lopes,97,6,0,68,13,7.1
3,Ligue 1,RC Strasbourg,Mike Penders,94,8,1,66,5,6.91
4,Ligue 1,Auxerre,Donovan Léon,91,7,1,61,20,7.04
5,Ligue 1,Metz,Jonathan Fischer,90,4,1,60,12,6.98
6,Ligue 1,Nice,Yehvann Diouf,87,4,2,53,12,7.02
7,Ligue 1,Stade Rennais,Brice Samba,87,10,2,61,24,6.96
8,Ligue 1,Toulouse,Guillaume Restes,82,9,0,54,17,6.79
9,Ligue 1,Le Havre,Mory Diaw,78,6,1,51,12,7.0
10,Ligue 1,RC Lens,Robin Risser,77,11,2,50,10,7.09
11,Ligue 1,Olympique Lyonnais,Dominik Greif,75,11,3,53,26,7.06
12,Ligue 1,Olympique de Marseille,Gerónimo Rulli,70,7,0,47,24,7.1
13,Ligue 1,Lorient,Yvon Mvogo,70,5,0,45,6,6.96
14,Ligue 1,Stade Brestois,Grégoire Coudert,69,6,1,45,8,7.08
15,Ligue 1,Lille,Berke Özer,67,12,1,44,11,7.24
16,Ligue 1,Paris FC,Kevin Trapp,55,7,1,37,9,6.93
17,Ligue 1,AS Monaco,Philipp Köhn,49,5,0,28,10,6.93
18,Ligue 1,AS Monaco,Lukáš Hrádecký,41,2,0,28,7,6.92
19,Ligue 1,Paris Saint-Germain,Lucas Chevalier,33,9,1,23,3,6.95
20,Ligue 1,Paris FC,Obed Nkambadio,27,1,1,18,8,6.43
21,Ligue 1,Metz,Pape Sy,26,2,0,14,1,7.13
22,Ligue 1,Paris Saint-Germain,Matvey Safonov,26,7,1,13,13,6.92
23,Ligue 1,Stade Brestois,Radosław Majecki,26,3,0,16,3,6.65
24,Ligue 1,Nice,Maxime Dupé,20,1,0,12,1,6.5
25,Ligue 1,Auxerre,Théo De Percin,16,0,1,7,7,6.94
26,Ligue 1,Le Havre,Lionel Mpasi Nzau,15,1,0,8,2,7.83
27,Ligue 1,Olympique Lyonnais,Rémy Descamps,14,4,0,10,2,7.66
28,Ligue 1,Olympique de Marseille,Jeffrey De Lange,13,1,0,11,1,6.62
29,Ligue 1,Nantes,Patrik Carlgren,11,1,0,9,3,7.37
30,Ligue 1,Lorient,Bingourou Kamara,8,1,0,5,2,6.2
31,Ligue 1,Angers,Melvin Zinga,7,0,0,6,0,7.15
32,Ligue 1,Angers,Oumar Pona,6,0,0,4,1,6.55
33,Ligue 1,Lille,Arnaud Bodart,4,0,0,1,2,6.73
34,Ligue 1,RC Strasbourg,Karl-Johan Johnsson,2,1,0,2,1,7.3
35,Ligue 1,Le Havre,Paul Argney,2,0,0,1,0,6.7
36,Ligue 1,Paris Saint-Germain,Renato Marin,1,0,0,1,0,7.2
37,Ligue 1,Toulouse,Kjetil Haug,1,0,0,0,0,6.2
38,Ligue 1,Stade Rennais,Mathys Silistrie,0,0,0,0,0,5.7
