#,League,Team,Name,Big chances created,Assists,Accurate passes,Accurate passes %,Key passes,Average Sofascore rating
1,Ligue 1,Stade Brestois,Ludovic Ajorque,3,9,481,68.91,37,6.92
2,Ligue 1,RC Lens,Adrien Thomasson,11,9,1074,83.0,79,6.91
3,Ligue 1,Paris Saint-Germain,Vitinha,8,7,2443,93.89,34,7.62
4,Ligue 1,RC Lens,Matthieu Udol,22,7,1045,83.94,51,7.05
5,Ligue 1,Olympique Lyonnais,Afonso Moreira,9,7,388,82.03,27,7.02
6,Ligue 1,Metz,Gauthier Hein,7,7,1185,90.32,53,7.0
7,Ligue 1,Paris Saint-Germain,Ousmane Dembélé,8,6,562,83.88,39,7.52
8,Ligue 1,Olympique de Marseille,Mason Greenwood,12,6,967,82.09,56,7.32
9,Ligue 1,Olympique Lyonnais,Endrick,9,6,203,75.19,26,7.21
10,Ligue 1,AS Monaco,Maghnes Akliouche,8,6,884,84.67,42,7.07
11,Ligue 1,Nice,Jonathan Clauss,13,6,976,81.06,59,6.96
12,Ligue 1,RC Strasbourg,Guéla Doué,5,6,975,87.13,14,6.9
13,Ligue 1,Stade Rennais,Mousa Tamari,7,6,483,81.45,32,6.9
14,Ligue 1,Paris Saint-Germain,Nuno Mendes,11,5,856,89.45,30,7.24
15,Ligue 1,RC Lens,Florian Thauvin,16,5,867,78.89,76,7.24
16,Ligue 1,Stade Rennais,Valentin Rongier,8,5,1698,89.18,40,7.23
17,Ligue 1,Lille,Matías Fernández-Pardo,5,5,487,82.26,34,7.07
18,Ligue 1,Le Havre,Issa Soumaré,9,5,418,70.02,29,7.04
19,Ligue 1,Stade Rennais,Esteban Lepaul,3,5,375,77.96,21,7.01
20,Ligue 1,Olympique de Marseille,Pierre-Emerick Aubameyang,8,5,348,81.88,26,6.92
21,Ligue 1,Lorient,Arsène Kouassi,7,5,679,86.5,29,6.91
22,Ligue 1,Olympique de Marseille,Igor Paixão,4,5,535,82.69,27,6.91
23,Ligue 1,Lille,Félix Correia,9,5,640,78.72,36,6.87
24,Ligue 1,AS Monaco,Aleksandr Golovin,2,5,586,82.54,24,6.85
25,Ligue 1,Toulouse,Santiago Hidalgo,4,5,201,75.0,11,6.66
26,Ligue 1,Paris FC,Ilan Kebbal,7,4,1199,86.2,57,7.44
27,Ligue 1,Toulouse,Aron Dønnum,9,4,771,78.59,61,7.24
28,Ligue 1,Paris Saint-Germain,Khvicha Kvaratskhelia,9,4,707,87.61,31,7.22
29,Ligue 1,RC Strasbourg,Valentín Barco,13,4,1257,86.51,38,7.15
30,Ligue 1,Olympique Lyonnais,Corentin Tolisso,9,4,1022,84.25,34,7.15
31,Ligue 1,Olympique de Marseille,Pierre-Emile Højbjerg,5,4,1904,90.15,35,7.14
32,Ligue 1,AS Monaco,Lamine Camara,8,4,926,85.19,31,7.1
33,Ligue 1,RC Lens,Mamadou Sangare,3,4,1205,86.57,35,7.09
34,Ligue 1,Paris Saint-Germain,Kang-in Lee,12,4,904,91.13,57,7.05
35,Ligue 1,Paris Saint-Germain,Warren Zaïre-Emery,8,4,1885,93.87,41,7.01
36,Ligue 1,Le Havre,Rassoul Ndiaye,5,4,668,83.71,26,7.0
37,Ligue 1,RC Lens,Saud Abdulhamid,5,4,523,89.4,24,6.98
38,Ligue 1,Nantes,Matthis Abline,7,4,291,70.63,30,6.96
39,Ligue 1,RC Strasbourg,Diego Moreira,11,4,713,81.86,35,6.95
40,Ligue 1,Auxerre,Lassine Sinayoko,6,4,535,75.99,38,6.93
41,Ligue 1,Stade Rennais,Quentin Merlin,5,4,983,78.39,38,6.91
42,Ligue 1,Lille,Romain Perraud,7,4,918,85.96,37,6.87
43,Ligue 1,Stade Rennais,Ludovic Blas,9,4,491,83.36,43,6.82
44,Ligue 1,Angers,Lilian Raolisoa,8,4,443,73.83,21,6.8
45,Ligue 1,AS Monaco,Folarin Balogun,8,4,276,73.4,21,6.79
46,Ligue 1,Olympique Lyonnais,Ainsley Maitland-Niles,5,4,890,84.76,20,6.79
47,Ligue 1,Toulouse,Djibril Sidibé,4,4,719,79.8,15,6.76
48,Ligue 1,Paris Saint-Germain,Senny Mayulu,6,4,564,89.52,31,6.74
49,Ligue 1,Olympique de Marseille,Bilal Nadir,3,4,335,90.3,12,6.58
50,Ligue 1,RC Lens,Allan Saint-Maximin,2,3,136,86.62,16,7.34
51,Ligue 1,Toulouse,Cristian Cásseres Jr.,6,3,1132,85.24,37,7.15
52,Ligue 1,Paris Saint-Germain,Désiré Doué,5,3,654,85.6,28,7.11
53,Ligue 1,Lorient,Pablo Pagis,8,3,467,77.7,40,7.1
54,Ligue 1,Paris Saint-Germain,Fabián Ruiz,2,3,968,92.9,17,7.02
55,Ligue 1,Olympique Lyonnais,Pavel Šulc,5,3,256,74.85,19,6.96
56,Ligue 1,Olympique de Marseille,Amine Gouiri,6,3,290,83.09,30,6.96
57,Ligue 1,Stade Brestois,Brendan Chardonnet,6,3,1000,83.82,12,6.95
58,Ligue 1,RC Lens,Odsonne Édouard,3,3,221,80.36,19,6.91
59,Ligue 1,Olympique de Marseille,Emerson,7,3,1061,89.01,41,6.87
60,Ligue 1,Paris FC,Maxime López,12,3,1494,89.78,43,6.87
61,Ligue 1,Stade Brestois,Kamory Doumbia,9,3,493,82.58,23,6.84
62,Ligue 1,Stade Rennais,Sebastian Szymański,4,3,236,80.27,18,6.82
63,Ligue 1,AS Monaco,Mamadou Coulibaly,3,3,548,84.7,12,6.78
64,Ligue 1,Paris FC,Moses Simon,7,3,389,84.57,31,6.78
65,Ligue 1,Le Havre,Sofiane Boufal,5,3,230,75.91,23,6.77
66,Ligue 1,Nice,Mohamed Ali Cho,7,3,332,78.49,21,6.77
67,Ligue 1,RC Lens,Andrija Bulatovic,4,3,249,82.45,12,6.76
68,Ligue 1,Stade Brestois,Romain Del Castillo,10,3,681,74.1,52,6.76
69,Ligue 1,Olympique Lyonnais,Nicolás Tagliafico,3,3,576,85.46,13,6.69
