#,League,Team,Name,Total saves,Clean sheets,Penalties saved,Saves from inside box,Runs out,Average Sofascore rating
1,Premier League,Burnley,Martin Dúbravka,127,4,0,85,15,6.98
2,Premier League,Sunderland,Robin Roefs,104,10,1,69,9,7.01
3,Premier League,Bournemouth,Đorđe Petrović,103,11,0,64,23,6.86
4,Premier League,Brighton & Hove Albion,Bart Verbruggen,100,10,1,73,21,7.09
5,Premier League,Brentford,Caoimhin Kelleher,100,10,3,62,15,7.06
6,Premier League,Everton,Jordan Pickford,99,11,1,69,33,7.06
7,Premier League,Crystal Palace,Dean Henderson,99,11,1,70,23,6.95
8,Premier League,Fulham,Bernd Leno,94,8,0,60,18,6.93
9,Premier League,Aston Villa,Emiliano Martínez,92,7,1,53,20,6.96
10,Premier League,Chelsea,Robert Sánchez,91,9,0,65,22,6.94
11,Premier League,Nottingham Forest,Matz Sels,87,7,1,57,14,6.79
12,Premier League,Tottenham Hotspur,Guglielmo Vicario,83,7,0,62,27,6.85
13,Premier League,Newcastle United,Nick Pope,78,7,0,54,27,6.89
14,Premier League,West Ham United,Alphonse Aréola,77,0,0,51,0,6.8
15,Premier League,Manchester United,Senne Lammens,75,7,0,49,9,7.01
16,Premier League,Manchester City,Gianluigi Donnarumma,74,14,1,53,17,7.02
17,Premier League,Arsenal,David Raya,57,17,0,42,32,6.89
18,Premier League,Liverpool FC,Alisson,56,8,0,33,14,6.81
19,Premier League,Wolverhampton,José Sá,54,4,0,39,16,6.8
20,Premier League,Leeds United,Karl Darlow,50,4,0,34,15,6.97
21,Premier League,West Ham United,Mads Hermansen,47,6,0,28,9,6.87
22,Premier League,Wolverhampton,Sam Johnstone,39,0,0,26,14,6.88
23,Premier League,Leeds United,Lucas Perri,38,3,0,29,3,6.59
24,Premier League,Liverpool FC,Giorgi Mamardashvili,29,2,1,18,9,6.66
25,Premier League,Newcastle United,Aaron Ramsdale,25,1,0,16,8,6.67
26,Premier League,Aston Villa,Marco Bizot,17,1,0,9,9,6.5
27,Premier League,Manchester United,Altay Bayındır,13,0,0,11,2,6.6
28,Premier League,Manchester City,James Trafford,11,1,0,9,8,7.4
29,Premier League,Sunderland,Melker Ellborg,10,1,0,5,1,7.0
30,Premier League,Liverpool FC,Freddie Woodman,9,0,0,9,3,6.93
31,Premier League,Nottingham Forest,Stefan Ortega,8,1,0,7,1,7.1
32,Premier League,Chelsea,Filip Jørgensen,8,0,0,6,5,6.76
33,Premier League,Wolverhampton,Daniel Bentley,7,0,0,7,4,7.1
34,Premier League,Nottingham Forest,John Victor,6,1,0,6,3,6.28
35,Premier League,Burnley,Max Weiss,5,0,0,1,1,7.0
36,Premier League,Tottenham Hotspur,Antonín Kinský,4,1,0,3,2,6.55
37,Premier League,Crystal Palace,Walter Benítez,3,1,0,2,0,7.1
38,Premier League,Brentford,Hákon Rafn Valdimarsson,1,0,0,1,0,6.2
39,Premier League,Nottingham Forest,Angus Gunn,0,0,0,0,0,6.5
