#,League,Team,Name,Total saves,Clean sheets,Penalties saved,Saves from inside box,Runs out,Average Sofascore rating
1,Serie A,Cremonese,Emil Audero,121,10,2,71,11,7.08
2,Serie A,Sassuolo,Arijanet Murić,119,6,1,78,21,7.15
3,Serie A,Cagliari,Elia Caprile,118,8,0,72,13,7.03
4,Serie A,Fiorentina,David De Gea,112,9,1,74,10,6.93
5,Serie A,Lecce,Wladimiro Falcone,105,9,2,84,22,6.99
6,Serie A,Atalanta,Marco Carnesecchi,103,13,2,74,18,7.31
7,Serie A,AS Roma,Mile Svilar,101,16,0,58,17,7.08
8,Serie A,Milan,Mike Maignan,96,13,2,59,9,7.21
9,Serie A,Lazio,Ivan Provedel,90,12,1,55,9,7.18
10,Serie A,Como,Jean Butez,86,18,1,57,61,7.2
11,Serie A,Hellas Verona,Lorenzo Montipò,81,5,2,44,15,6.64
12,Serie A,Torino,Alberto Paleari,79,9,0,51,13,7.13
13,Serie A,Udinese,Maduka Okoye,73,10,1,46,6,6.95
14,Serie A,Pisa,Adrian Šemper,73,4,0,45,3,6.91
15,Serie A,Inter,Yann Sommer,62,15,0,35,7,6.91
16,Serie A,Juventus,Michele Di Gregorio,59,13,1,30,9,6.9
17,Serie A,Parma,Zion Suzuki,56,5,1,34,10,6.99
18,Serie A,SSC Napoli,Vanja Milinković-Savić,55,11,3,29,17,6.87
19,Serie A,Genoa,Nicola Leali,55,4,0,45,11,6.86
20,Serie A,Bologna,Federico Ravaglia,52,2,0,39,17,7.17
21,Serie A,Parma,Edoardo Corvi,44,6,0,31,12,6.98
22,Serie A,Genoa,Justin Bijlow,41,5,0,30,3,6.98
23,Serie A,Bologna,Łukasz Skorupski,30,6,0,22,9,6.79
24,Serie A,Torino,Franco Israel,24,3,0,13,4,6.68
25,Serie A,Lazio,Edoardo Motta,23,3,1,14,3,6.87
26,Serie A,SSC Napoli,Alex Meret,17,2,0,10,9,6.54
27,Serie A,Cremonese,Marco Silvestri,15,0,0,7,2,6.8
28,Serie A,Pisa,Simone Scuffet,14,1,0,12,1,7.04
29,Serie A,Udinese,Răzvan Sava,14,1,0,7,4,6.67
30,Serie A,Pisa,Nícolas,12,0,0,5,4,6.5
31,Serie A,Sassuolo,Stefano Turati,10,2,0,4,1,7.1
32,Serie A,Juventus,Mattia Perin,10,2,0,9,1,6.66
33,Serie A,Inter,Josep Martínez,9,3,0,3,6,6.88
34,Serie A,Genoa,Daniele Sommariva,8,0,0,6,1,6.7
35,Serie A,Hellas Verona,Simone Perilli,8,1,0,4,0,6.6
36,Serie A,Parma,Filippo Rinaldi,4,1,0,3,0,7.6
37,Serie A,Milan,Pietro Terracciano,4,1,0,1,0,7.05
38,Serie A,Bologna,Massimo Pessina,4,2,0,2,5,7.03
39,Serie A,Udinese,Daniele Padelli,3,0,0,2,2,6.85
